#title = mean sea level anomaly Adriatic Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.26 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9628,10.24000,,,
1992.9891,-50.86000,,,
1993.0154,-77.96000,,,
1993.0426,-51.66000,,,
1993.0977,-84.76000,,,
1993.1792,-57.16000,,,
1993.3149,-90.06000,,,
1993.3423,-65.56000,,,
1993.3692,-61.36000,,,
1993.4008,-59.56000,,,
1993.4234,-47.36000,,,
1993.4507,-59.16000,,,
1993.4782,-68.46000,,,
1993.4968,-88.56000,,,
1993.5321,-90.76000,,,
1993.5863,-38.46000,,,
1993.6134,-43.86000,,,
1993.6397,-11.06000,,,
1993.6678,-10.86000,,,
1993.6942,-31.06000,,,
1993.7218,8.44000,,,
1993.7502,7.04000,,,
1993.7765,83.84000,,,
1993.8037,56.24000,,,
1993.8580,98.94000,,,
1993.8850,-68.06000,,,
1993.9124,22.34000,,,
1993.9393,50.34000,,,
1993.9666,6.04000,,,
1993.9927,10.84000,,,
1994.0207,51.74000,,,
1994.0477,13.44000,,,
1994.1022,-78.56000,,,
1994.1293,35.84000,,,
1994.1569,-18.26000,,,
1994.2923,-55.46000,,,
1994.3194,-27.46000,,,
1994.3466,-69.76000,,,
1994.3737,-22.96000,,,
1994.4008,18.84000,,,
1994.4280,-55.66000,,,
1994.4551,-54.76000,,,
1994.5140,2.34000,,,
1994.5362,-53.56000,,,
1994.5637,-56.66000,,,
1994.5909,-1.96000,,,
1994.6178,-7.76000,,,
1994.6457,7.54000,,,
1994.6724,-12.16000,,,
1994.6995,-0.86000,,,
1994.7239,-23.36000,,,
1994.7539,22.34000,,,
1994.7812,-33.56000,,,
1994.8082,39.54000,,,
1994.8346,34.24000,,,
1994.8897,37.44000,,,
1994.9166,25.24000,,,
1994.9440,2.04000,,,
1994.9706,9.64000,,,
1994.9981,16.14000,,,
1995.0256,-1.16000,,,
1995.0524,-18.36000,,,
1995.0794,-25.36000,,,
1995.1066,-22.16000,,,
1995.1336,10.04000,,,
1995.1603,-65.76000,,,
1995.2966,-61.96000,,,
1995.3285,-54.86000,,,
1995.3790,-56.36000,,,
1995.4053,-87.06000,,,
1995.4331,-55.16000,,,
1995.4596,-33.86000,,,
1995.4866,-39.26000,,,
1995.5411,-32.36000,,,
1995.5726,-13.56000,,,
1995.5951,-22.46000,,,
1995.6224,-43.26000,,,
1995.6498,-4.36000,,,
1995.6762,-9.96000,,,
1995.7041,15.74000,,,
1995.7311,11.34000,,,
1995.7582,-16.06000,,,
1995.7855,-9.16000,,,
1995.8399,-0.66000,,,
1995.8670,35.24000,,,
1995.8929,59.04000,,,
1995.9539,75.34000,,,
1995.9755,126.74000,,,
