#title = mean sea level anomaly Andaman Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.16 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9598,-11.64000,,,
1992.9857,-3.94000,,,
1993.0129,-80.34000,,,
1993.2840,-75.54000,,,
1993.3116,-24.54000,,,
1993.3383,-12.04000,,,
1993.3654,27.06000,,,
1993.3936,-6.94000,,,
1993.4207,42.86000,,,
1993.4468,81.56000,,,
1993.4746,62.36000,,,
1993.4995,68.76000,,,
1993.5287,62.86000,,,
1993.5847,67.56000,,,
1993.6117,76.66000,,,
1993.6370,93.16000,,,
1993.6640,48.06000,,,
1993.6917,59.96000,,,
1993.7171,-6.64000,,,
1993.7460,-16.34000,,,
1993.7734,1.76000,,,
1993.8002,58.46000,,,
1993.8545,-1.34000,,,
1993.8817,105.66000,,,
1993.9086,109.86000,,,
1993.9358,24.16000,,,
1993.9631,17.56000,,,
1993.9899,55.76000,,,
1994.0174,-2.74000,,,
1994.0445,-56.84000,,,
1994.0715,-65.84000,,,
1994.0984,-62.84000,,,
1994.1260,-89.44000,,,
1994.1803,-82.84000,,,
1994.2342,-87.04000,,,
1994.2616,-38.64000,,,
1994.2892,-48.84000,,,
1994.3155,-76.74000,,,
1994.3424,25.26000,,,
1994.3707,-21.94000,,,
1994.3970,-48.04000,,,
1994.4248,-44.24000,,,
1994.4520,-3.84000,,,
1994.5045,42.26000,,,
1994.5331,27.46000,,,
1994.5603,-35.74000,,,
1994.5874,0.86000,,,
1994.6154,15.36000,,,
1994.6416,-22.34000,,,
1994.6685,-11.64000,,,
1994.6959,-57.84000,,,
1994.7232,-33.74000,,,
1994.7509,-37.34000,,,
1994.7778,-7.14000,,,
1994.8048,-57.44000,,,
1994.8318,-73.54000,,,
1994.9135,-90.94000,,,
1994.9403,-18.44000,,,
1994.9674,-75.04000,,,
1994.9947,-91.74000,,,
1995.2395,-95.94000,,,
1995.2666,-85.14000,,,
1995.2937,14.86000,,,
1995.3204,-4.74000,,,
1995.3746,103.26000,,,
1995.4018,76.86000,,,
1995.4286,110.76000,,,
1995.4557,76.16000,,,
1995.4831,105.16000,,,
1995.5372,124.46000,,,
1995.5640,60.36000,,,
1995.5918,95.96000,,,
1995.6191,34.36000,,,
1995.6459,9.46000,,,
1995.6729,18.76000,,,
1995.6999,4.06000,,,
1995.7277,1.16000,,,
1995.7549,25.46000,,,
1995.7821,51.66000,,,
1995.8360,38.96000,,,
1995.8633,111.66000,,,
