#title = mean sea level anomaly Arabian Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.62 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-18.83000,,,
1992.9866,7.77000,,,
1993.0114,31.77000,,,
1993.0405,29.97000,,,
1993.0656,8.27000,,,
1993.0975,-4.43000,,,
1993.1199,8.07000,,,
1993.1480,23.77000,,,
1993.1765,25.97000,,,
1993.2039,41.47000,,,
1993.2309,26.47000,,,
1993.2849,44.27000,,,
1993.3124,64.17000,,,
1993.3394,74.87000,,,
1993.3667,74.37000,,,
1993.3936,68.37000,,,
1993.4204,58.17000,,,
1993.4481,37.57000,,,
1993.4751,27.67000,,,
1993.5023,24.47000,,,
1993.5296,4.07000,,,
1993.5836,-62.93000,,,
1993.6125,-63.63000,,,
1993.6385,-52.63000,,,
1993.6653,-32.23000,,,
1993.6924,-43.73000,,,
1993.7185,-57.33000,,,
1993.7467,-48.13000,,,
1993.7738,-49.73000,,,
1993.8013,-56.93000,,,
1993.8553,-17.73000,,,
1993.8825,-34.93000,,,
1993.9096,-65.53000,,,
1993.9364,-55.53000,,,
1993.9639,-32.03000,,,
1993.9909,-17.23000,,,
1994.0180,3.47000,,,
1994.0454,8.47000,,,
1994.0726,7.77000,,,
1994.0997,-5.23000,,,
1994.1268,0.87000,,,
1994.1539,18.67000,,,
1994.1810,12.37000,,,
1994.2354,23.37000,,,
1994.2631,40.17000,,,
1994.2895,50.57000,,,
1994.3167,53.67000,,,
1994.3435,69.97000,,,
1994.3712,68.07000,,,
1994.3981,69.87000,,,
1994.4258,58.47000,,,
1994.4530,32.47000,,,
1994.5071,2.87000,,,
1994.5339,-2.03000,,,
1994.5610,-40.93000,,,
1994.5883,-41.73000,,,
1994.6154,-39.93000,,,
1994.6428,-47.83000,,,
1994.6695,-26.83000,,,
1994.6968,-44.83000,,,
1994.7235,-66.53000,,,
1994.7510,-69.33000,,,
1994.7787,-49.23000,,,
1994.8053,-43.43000,,,
1994.8326,-27.03000,,,
1994.8873,-30.33000,,,
1994.9140,-28.93000,,,
1994.9413,-33.93000,,,
1994.9684,-25.13000,,,
1994.9953,1.37000,,,
1995.0227,-4.03000,,,
1995.0497,-17.23000,,,
1995.0767,-13.03000,,,
1995.1039,-2.93000,,,
1995.1310,8.47000,,,
1995.1582,11.17000,,,
1995.2128,11.87000,,,
1995.2397,40.87000,,,
1995.2670,40.37000,,,
1995.2941,72.67000,,,
1995.3211,77.77000,,,
1995.3755,60.77000,,,
1995.4026,56.07000,,,
1995.4300,66.97000,,,
1995.4575,45.17000,,,
1995.4840,18.77000,,,
1995.5385,-8.93000,,,
1995.5655,-2.03000,,,
1995.5926,-14.13000,,,
1995.6199,-18.43000,,,
1995.6469,-14.93000,,,
1995.6745,-29.93000,,,
1995.7014,-47.43000,,,
1995.7287,-28.13000,,,
1995.7554,-48.33000,,,
1995.7827,-36.03000,,,
1995.8373,-36.53000,,,
1995.8643,-53.53000,,,
1995.8894,-46.13000,,,
1995.9456,-32.33000,,,
1995.9728,-1.73000,,,
1995.9994,15.07000,,,
1996.0273,3.27000,,,
1996.0533,-5.73000,,,
1996.0814,-4.83000,,,
1996.1084,17.57000,,,
1996.1625,10.07000,,,
1996.1900,36.67000,,,
1996.2171,46.67000,,,
1996.2440,48.47000,,,
1996.2713,38.07000,,,
1996.2983,42.97000,,,
1996.3259,70.67000,,,
1996.3529,75.87000,,,
1996.3800,66.37000,,,
1996.4072,86.17000,,,
1996.4345,75.17000,,,
1996.4886,14.77000,,,
1996.5155,7.57000,,,
1996.5438,-8.93000,,,
1996.5699,-27.23000,,,
1996.5973,-32.13000,,,
1996.6242,-39.33000,,,
1996.6517,-60.03000,,,
1996.6786,-77.13000,,,
1996.7058,-56.13000,,,
1996.7334,-60.83000,,,
1996.7603,-63.33000,,,
