#title = mean sea level anomaly Baltic Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 4.09 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9600,197.05000,,,
1992.9837,228.25000,,,
1993.0105,-2.75000,,,
1993.0393,-2.45000,,,
1993.0650,380.05000,,,
1993.0951,495.35000,,,
1993.1194,317.25000,,,
1993.1489,184.95000,,,
1993.1745,3.45000,,,
1993.2286,142.85000,,,
1993.4716,-4.35000,,,
1993.4946,82.75000,,,
1993.5269,121.65000,,,
1993.5813,104.65000,,,
1993.6087,78.35000,,,
1993.6354,105.45000,,,
1993.6620,117.15000,,,
1993.6892,-14.65000,,,
1993.8797,-91.25000,,,
1993.9880,7.95000,,,
1994.0696,70.85000,,,
1994.0954,255.45000,,,
1994.1239,-2.25000,,,
1994.2326,52.05000,,,
1994.2601,14.35000,,,
1994.2868,-70.85000,,,
1994.3403,-60.35000,,,
1994.4221,-92.05000,,,
1994.4498,44.05000,,,
1994.4970,102.45000,,,
1994.5311,9.85000,,,
1994.5585,-75.15000,,,
1994.6391,-51.35000,,,
1994.6669,-24.15000,,,
1994.6943,-76.15000,,,
1994.7213,-4.85000,,,
1994.7483,15.55000,,,
1994.7757,210.75000,,,
1994.8028,64.35000,,,
1994.8296,-37.75000,,,
1994.8835,-53.05000,,,
1994.9112,238.75000,,,
1994.9383,162.55000,,,
1994.9653,274.65000,,,
1994.9927,167.15000,,,
1995.0202,225.15000,,,
1995.0470,147.25000,,,
1995.0741,18.45000,,,
1995.1014,142.15000,,,
1995.1290,180.25000,,,
1995.1559,211.75000,,,
1995.2104,-55.25000,,,
1995.2373,109.65000,,,
1995.2646,286.45000,,,
1995.2919,196.35000,,,
1995.3190,42.85000,,,
1995.3746,-66.55000,,,
1995.3999,7.45000,,,
1995.4274,-79.15000,,,
1995.4818,-7.75000,,,
1995.5356,-38.35000,,,
1995.5616,57.05000,,,
1995.5905,-29.25000,,,
1995.6170,-16.15000,,,
1995.6445,-77.85000,,,
1995.6712,-35.55000,,,
1995.7526,19.05000,,,
1995.7799,124.35000,,,
1995.8344,195.85000,,,
1995.8612,107.35000,,,
1995.8882,66.85000,,,
1995.9434,-90.65000,,,
1996.4339,-58.85000,,,
1996.4860,-27.15000,,,
1996.5131,-39.05000,,,
1996.5397,177.15000,,,
1996.5673,73.15000,,,
1996.5942,71.65000,,,
1996.6219,-83.75000,,,
1996.8117,-4.05000,,,
1996.8390,-17.75000,,,
1996.8660,225.95000,,,
1996.8934,121.55000,,,
1996.9202,43.15000,,,
1996.9474,-30.95000,,,
1996.9742,-33.75000,,,
1997.0019,-43.55000,,,
1997.0565,17.25000,,,
1997.0834,48.75000,,,
1997.1378,67.15000,,,
1997.1652,210.25000,,,
1997.1922,294.15000,,,
1997.2184,33.05000,,,
1997.2465,-44.45000,,,
1997.2734,157.05000,,,
1997.3006,90.35000,,,
1997.3273,16.85000,,,
1997.3542,-7.15000,,,
1997.3837,-64.15000,,,
1997.4098,-60.05000,,,
1997.5177,-83.25000,,,
1997.6261,-96.45000,,,
1997.6529,-98.75000,,,
1997.6806,-39.75000,,,
1997.7074,233.45000,,,
1997.7345,306.65000,,,
1997.7888,210.95000,,,
1997.8160,248.35000,,,
1997.8452,122.75000,,,
1997.8705,16.25000,,,
1997.8971,-93.25000,,,
1997.9516,-43.95000,,,
1998.0334,48.15000,,,
1998.0881,7.75000,,,
1998.1151,136.75000,,,
1998.1422,202.95000,,,
1998.1691,246.95000,,,
1998.1966,256.25000,,,
1998.2235,195.75000,,,
1998.2506,-91.35000,,,
1998.3593,-44.95000,,,
1998.4677,29.25000,,,
1998.4957,-19.95000,,,
1998.5223,41.55000,,,
1998.5488,175.75000,,,
1998.6040,196.55000,,,
1998.6311,105.35000,,,
1998.6575,277.35000,,,
1998.6850,35.95000,,,
1998.7121,53.25000,,,
1998.7392,46.05000,,,
1998.8206,76.85000,,,
1998.8480,286.75000,,,
1998.8749,248.65000,,,
1998.9022,88.15000,,,
1998.9293,-32.15000,,,
1998.9564,-36.05000,,,
1998.9829,107.45000,,,
1999.0116,71.55000,,,
1999.0379,14.15000,,,
1999.0921,93.25000,,,
1999.1235,48.85000,,,
1999.1466,71.75000,,,
1999.1733,67.05000,,,
1999.2030,-67.15000,,,
1999.2560,-92.65000,,,
1999.3361,-7.55000,,,
1999.4447,-91.65000,,,
1999.4719,-39.45000,,,
1999.4998,-55.25000,,,
1999.5263,-49.85000,,,
1999.5538,5.35000,,,
1999.5806,66.95000,,,
1999.6077,-85.05000,,,
1999.6352,-15.15000,,,
1999.6890,44.65000,,,
1999.7713,143.45000,,,
1999.7978,197.55000,,,
1999.8251,-38.15000,,,
1999.8520,171.55000,,,
1999.8793,42.75000,,,
1999.9067,-34.95000,,,
1999.9606,222.65000,,,
1999.9876,221.05000,,,
2000.0155,221.25000,,,
2000.0421,283.15000,,,
2000.0695,109.15000,,,
2000.0970,213.45000,,,
2000.1236,358.55000,,,
2000.1517,202.45000,,,
2000.1783,250.05000,,,
2000.2054,319.75000,,,
2000.2328,88.55000,,,
2000.4221,12.05000,,,
2000.4492,53.65000,,,
2000.4765,45.85000,,,
2000.5033,68.85000,,,
2000.5303,32.05000,,,
2000.5871,51.45000,,,
2000.6121,82.85000,,,
2000.6395,93.95000,,,
2000.6660,56.85000,,,
2000.6938,28.45000,,,
2000.7204,-66.45000,,,
2000.8845,-81.45000,,,
2000.9374,-21.25000,,,
2000.9652,137.95000,,,
2000.9925,-36.25000,,,
2001.0196,-14.35000,,,
2001.1285,-60.45000,,,
2001.1551,-50.75000,,,
2001.3447,-98.55000,,,
2001.3992,-49.15000,,,
2001.4269,8.15000,,,
2001.4539,83.85000,,,
2001.4810,59.55000,,,
2001.5078,-2.15000,,,
2001.5352,-60.95000,,,
2001.5626,-13.15000,,,
2001.5900,33.75000,,,
2001.6171,105.55000,,,
2001.6451,83.65000,,,
2001.6722,21.35000,,,
2001.6984,162.45000,,,
2001.7264,133.65000,,,
2001.7795,81.55000,,,
2001.8069,46.75000,,,
2001.8342,53.45000,,,
2001.8616,310.95000,,,
2001.8886,335.15000,,,
2001.9154,291.15000,,,
2001.9426,204.05000,,,
2001.9695,-55.15000,,,
2001.9969,62.35000,,,
2002.0242,177.95000,,,
2002.0513,54.45000,,,
2002.0523,,77.43000,,
2002.0785,200.15000,,,
2002.0802,,225.53000,,
2002.1058,288.75000,,,
2002.1076,,308.23000,,
2002.1329,274.15000,,,
2002.1345,,266.23000,,
2002.1621,,260.03000,,
2002.1622,228.15000,,,
2002.1870,384.65000,,,
2002.1890,,387.13000,,
2002.2143,327.65000,,,
2002.2157,,301.43000,,
2002.2427,207.55000,,,
2002.2438,,199.03000,,
2002.2684,-34.45000,,,
2002.2713,,-52.17000,,
2002.3495,-79.55000,,,
2002.3515,,-91.47000,,
2002.4609,,-90.47000,,
2002.4859,67.35000,,,
2002.4888,,95.93000,,
2002.5145,,139.03000,,
2002.5402,41.55000,,,
2002.5428,,24.53000,,
2002.5669,86.25000,,,
2002.5681,,111.53000,,
2002.5935,-2.35000,,,
2002.5961,,-25.57000,,
2002.6209,-68.35000,,,
2002.6235,,-58.27000,,
2002.6510,,-78.37000,,
2002.6535,-88.95000,,,
2002.6775,,-15.27000,,
2002.6781,-9.15000,,,
2002.7050,,-88.17000,,
2002.7078,-77.55000,,,
2002.7325,-37.35000,,,
2002.7327,,-61.77000,,
2002.7600,,40.83000,,
2002.7606,51.75000,,,
2002.8412,,-33.27000,,
2002.8451,-39.55000,,,
2003.0572,,68.23000,,
2003.0587,62.15000,,,
2003.0835,,25.33000,,
2003.0839,42.95000,,,
2003.1123,,61.63000,,
2003.1153,59.75000,,,
2003.1381,,-0.07000,,
2003.1427,-8.55000,,,
2003.2185,-70.85000,,,
2003.2189,,-61.27000,,
2003.2491,,-56.57000,,
2003.2510,-38.05000,,,
2003.2732,50.45000,,,
2003.2804,,32.43000,,
2003.3560,-65.75000,,,
2003.3569,,-80.67000,,
2003.3834,,-72.27000,,
2003.3841,-57.55000,,,
2003.4103,-64.85000,,,
2003.4111,,-74.47000,,
2003.4377,-70.65000,,,
2003.4386,,-72.37000,,
2003.4647,63.75000,,,
2003.4654,,51.73000,,
2003.4924,80.25000,,,
2003.4932,,50.83000,,
2003.5199,,78.73000,,
2003.5211,102.95000,,,
2003.5456,56.65000,,,
2003.5470,,53.83000,,
2003.5735,-5.75000,,,
2003.5738,,0.33000,,
2003.6001,,8.43000,,
2003.6006,13.85000,,,
2003.6282,33.25000,,,
2003.6287,,10.93000,,
2003.6553,148.75000,,,
2003.6555,,123.93000,,
2003.6823,,122.83000,,
2003.6829,129.05000,,,
2003.7102,,40.83000,,
2003.7110,47.55000,,,
2003.7364,115.65000,,,
2003.7367,,127.33000,,
2003.7632,,102.83000,,
2003.7640,121.25000,,,
2003.7907,254.95000,,,
2003.7915,,232.83000,,
2003.8183,,-61.17000,,
2003.8186,-46.15000,,,
2003.8456,105.45000,86.73000,,
2003.8709,,-48.97000,,
2003.8728,-39.75000,,,
2003.9033,-26.75000,,,
2003.9109,,-12.17000,,
2003.9264,-22.55000,,,
2003.9266,,-26.37000,,
2003.9537,15.15000,,,
2003.9542,,11.13000,,
2003.9806,191.05000,,,
2003.9814,,192.73000,,
2004.0074,171.95000,,,
2004.0076,,176.23000,,
2004.0342,,-66.87000,,
2004.0369,-58.75000,,,
2004.0623,,-58.97000,,
2004.0633,-70.15000,,,
2004.0895,,-78.77000,,
2004.0900,-54.65000,,,
2004.1128,,144.13000,,
2004.1158,154.85000,,,
2004.1440,52.75000,,,
2004.1477,,7.13000,,
2004.1697,,78.63000,,
2004.1713,80.05000,,,
2004.1975,,-67.37000,,
2004.1982,-73.45000,,,
2004.2250,,-78.37000,,
2004.2263,-77.35000,,,
2004.2513,,-67.17000,,
2004.3882,,-3.37000,,
2004.3883,0.35000,,,
2004.4145,,88.33000,,
2004.4432,,-21.27000,,
2004.4704,,49.93000,,
2004.4757,76.75000,,,
2004.4948,91.05000,,,
2004.4985,,111.33000,,
2004.5244,126.05000,,,
2004.5245,,136.13000,,
2004.5481,178.45000,,,
2004.5516,,177.53000,,
2004.5779,,91.83000,,
2004.5789,67.65000,,,
2004.6058,,-75.77000,,
2004.6061,-66.15000,,,
2004.6596,,63.73000,,
2004.6607,74.85000,,,
2004.6872,,110.03000,,
2004.6881,104.15000,,,
2004.7138,,52.43000,,
