#title = mean sea level anomaly Bay of Bengal (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.18 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,2.11000,,,
1992.9858,10.51000,,,
1993.0114,27.41000,,,
1993.0387,-7.59000,,,
1993.0657,-31.39000,,,
1993.0977,-42.79000,,,
1993.1192,-56.99000,,,
1993.1480,-57.79000,,,
1993.1759,-43.29000,,,
1993.2030,-50.29000,,,
1993.2298,-55.89000,,,
1993.2847,-41.79000,,,
1993.3119,-8.39000,,,
1993.3388,23.61000,,,
1993.3662,20.81000,,,
1993.3934,33.21000,,,
1993.4202,24.31000,,,
1993.4465,15.71000,,,
1993.4746,16.71000,,,
1993.5002,12.91000,,,
1993.5287,20.91000,,,
1993.5833,-36.29000,,,
1993.6125,-33.09000,,,
1993.6376,16.41000,,,
1993.6645,25.11000,,,
1993.6916,2.71000,,,
1993.7175,-4.69000,,,
1993.7455,-16.69000,,,
1993.7731,-27.99000,,,
1993.8003,-15.09000,,,
1993.8544,22.21000,,,
1993.8822,7.11000,,,
1993.9088,7.01000,,,
1993.9361,-9.09000,,,
1993.9631,23.81000,,,
1993.9904,37.31000,,,
1994.0175,34.11000,,,
1994.0444,28.11000,,,
1994.0716,16.61000,,,
1994.0990,11.41000,,,
1994.1260,14.31000,,,
1994.1534,-0.49000,,,
1994.1803,-9.79000,,,
1994.2349,-5.09000,,,
1994.2619,-11.89000,,,
1994.2886,2.81000,,,
1994.3158,13.51000,,,
1994.3432,23.51000,,,
1994.3705,11.01000,,,
1994.3974,23.41000,,,
1994.4243,14.51000,,,
1994.4522,8.81000,,,
1994.5050,-5.99000,,,
1994.5329,-8.69000,,,
1994.5606,-5.49000,,,
1994.5881,-31.59000,,,
1994.6149,-21.39000,,,
1994.6410,-53.59000,,,
1994.6691,-26.99000,,,
1994.6967,-48.49000,,,
1994.7235,-67.39000,,,
1994.7508,-65.59000,,,
1994.7775,-41.19000,,,
1994.8047,-44.29000,,,
1994.8318,-45.99000,,,
1994.8847,-72.49000,,,
1994.9134,-75.09000,,,
1994.9405,-71.39000,,,
1994.9679,-54.29000,,,
1994.9945,-43.79000,,,
1995.0220,-41.59000,,,
1995.0493,-59.09000,,,
1995.0761,-80.09000,,,
1995.1035,-60.19000,,,
1995.1307,-62.89000,,,
1995.1577,-42.49000,,,
1995.2118,-44.49000,,,
1995.2413,-20.39000,,,
1995.2663,2.21000,,,
1995.2941,3.61000,,,
1995.3206,34.61000,,,
1995.3749,33.41000,,,
1995.4021,39.51000,,,
1995.4289,55.81000,,,
1995.4561,41.51000,,,
1995.4834,32.21000,,,
1995.5376,36.21000,,,
1995.5650,52.71000,,,
1995.5920,35.71000,,,
1995.6192,45.21000,,,
1995.6463,34.91000,,,
1995.6738,1.61000,,,
1995.7006,-3.39000,,,
1995.7284,-5.59000,,,
1995.7553,-13.49000,,,
1995.7822,-12.69000,,,
1995.8360,7.41000,,,
1995.8644,-3.39000,,,
1995.8898,-0.99000,,,
1995.9452,5.41000,,,
1995.9724,10.11000,,,
1995.9980,9.71000,,,
1996.0264,0.71000,,,
1996.0527,-5.19000,,,
1996.0804,-21.19000,,,
1996.1076,-29.59000,,,
1996.1623,-51.69000,,,
1996.1890,-25.49000,,,
1996.2173,-14.89000,,,
1996.2435,-16.49000,,,
1996.2706,-35.89000,,,
1996.2978,-16.09000,,,
1996.3249,5.91000,,,
1996.3523,33.61000,,,
1996.3793,34.01000,,,
1996.4065,52.81000,,,
1996.4329,49.91000,,,
1996.4881,47.51000,,,
1996.5149,35.91000,,,
1996.5419,15.31000,,,
1996.5695,15.21000,,,
1996.5964,22.91000,,,
1996.6236,13.11000,,,
1996.6505,4.21000,,,
1996.6782,-1.09000,,,
1996.7056,8.31000,,,
1996.7323,1.61000,,,
1996.7596,-0.79000,,,
1996.8137,0.91000,,,
1996.8410,1.81000,,,
1996.8689,13.51000,,,
1996.8953,27.61000,,,
1996.9230,29.31000,,,
1996.9497,-11.49000,,,
1996.9766,-30.59000,,,
1997.0038,-22.99000,,,
1997.0309,-6.19000,,,
1997.0580,-2.89000,,,
1997.0852,-32.79000,,,
1997.1396,-66.99000,,,
1997.1666,-28.99000,,,
1997.1937,-19.29000,,,
1997.2218,14.31000,,,
1997.2483,8.21000,,,
1997.2753,-14.39000,,,
1997.3024,-25.99000,,,
1997.3295,-20.79000,,,
1997.3569,16.21000,,,
1997.3847,34.51000,,,
1997.4110,27.21000,,,
1997.4655,39.71000,,,
1997.4914,44.01000,,,
1997.5205,33.11000,,,
1997.5467,17.21000,,,
1997.5742,-24.19000,,,
1997.6280,-23.59000,,,
1997.6553,-18.49000,,,
1997.6824,6.41000,,,
1997.7094,-21.89000,,,
1997.7373,-12.79000,,,
1997.7912,-33.59000,,,
1997.8180,-64.39000,,,
1997.8455,-63.49000,,,
1997.8721,-68.89000,,,
1997.8995,-93.49000,,,
1997.9541,-96.09000,,,
1998.1448,-88.09000,,,
1998.1711,-78.19000,,,
1998.1983,-59.39000,,,
1998.2255,-64.99000,,,
1998.2536,-50.59000,,,
1998.2792,-36.09000,,,
1998.3068,-19.09000,,,
1998.3340,3.51000,,,
1998.3607,20.31000,,,
1998.4162,7.31000,,,
1998.4425,17.61000,,,
1998.4697,31.61000,,,
1998.4969,36.21000,,,
1998.5243,23.81000,,,
1998.5513,19.21000,,,
1998.6055,17.51000,,,
1998.6327,33.01000,,,
1998.6597,40.41000,,,
1998.6873,31.51000,,,
1998.7146,25.81000,,,
1998.7411,3.01000,,,
1998.7684,5.61000,,,
1998.8226,41.01000,,,
1998.8500,-6.69000,,,
1998.8769,19.21000,,,
1998.9042,35.01000,,,
1998.9317,36.81000,,,
1998.9588,26.21000,,,
1998.9851,17.71000,,,
1999.0114,11.41000,,,
1999.0395,22.21000,,,
1999.0942,13.41000,,,
1999.1266,17.91000,,,
1999.1484,8.11000,,,
1999.1755,3.21000,,,
1999.2031,1.51000,,,
1999.2296,-20.59000,,,
1999.2570,-5.39000,,,
1999.2842,-6.89000,,,
1999.3387,29.21000,,,
1999.3657,55.71000,,,
1999.3926,38.01000,,,
1999.4200,12.01000,,,
1999.4473,3.61000,,,
1999.4743,-4.19000,,,
1999.5013,-1.09000,,,
1999.5284,-11.39000,,,
1999.5554,-25.49000,,,
