#title = mean sea level anomaly Bering Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 1.69 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9621,-4.98000,,,
1992.9874,-30.48000,,,
1993.0133,-15.48000,,,
1993.0404,-40.58000,,,
1993.0654,-56.98000,,,
1993.0976,-7.08000,,,
1993.1220,-3.48000,,,
1993.1499,-16.68000,,,
1993.1770,-12.68000,,,
1993.2042,-10.08000,,,
1993.2306,-28.98000,,,
1993.2856,-31.18000,,,
1993.3133,-20.08000,,,
1993.3398,-29.28000,,,
1993.3668,-2.98000,,,
1993.3944,-12.58000,,,
1993.4221,-10.48000,,,
1993.4483,-1.78000,,,
1993.4754,21.02000,,,
1993.5015,13.92000,,,
1993.5298,10.62000,,,
1993.5827,45.52000,,,
1993.6121,14.82000,,,
1993.6382,15.92000,,,
1993.6657,38.62000,,,
1993.6925,19.02000,,,
1993.7195,10.92000,,,
1993.7466,0.82000,,,
1993.7737,12.12000,,,
1993.8013,15.02000,,,
1993.8553,20.52000,,,
1993.8826,-6.18000,,,
1993.9102,-53.28000,,,
1993.9363,-54.28000,,,
1993.9637,-24.68000,,,
1993.9913,8.72000,,,
1994.0185,6.72000,,,
1994.0453,-22.28000,,,
1994.0718,-33.68000,,,
1994.1001,-5.98000,,,
1994.1265,-33.28000,,,
1994.1537,-17.28000,,,
1994.1806,-12.28000,,,
1994.2361,-55.18000,,,
1994.2625,-24.68000,,,
1994.2901,-36.18000,,,
1994.3171,-41.68000,,,
1994.3446,-28.58000,,,
1994.3710,-22.68000,,,
1994.3991,-40.88000,,,
1994.4262,-16.18000,,,
1994.4529,10.82000,,,
1994.5064,-9.88000,,,
1994.5345,5.32000,,,
1994.5610,12.52000,,,
1994.5886,0.72000,,,
1994.6156,27.82000,,,
1994.6427,19.72000,,,
1994.6697,25.02000,,,
1994.6970,4.52000,,,
1994.7240,-0.38000,,,
1994.7508,16.72000,,,
1994.7785,28.32000,,,
1994.8057,28.32000,,,
1994.8324,-15.88000,,,
1994.8863,-31.38000,,,
1994.9148,-27.48000,,,
1994.9416,-37.18000,,,
1994.9681,-18.18000,,,
1994.9963,-9.58000,,,
1995.0217,-6.38000,,,
1995.0497,-6.18000,,,
1995.0766,16.72000,,,
1995.1052,30.32000,,,
1995.1307,20.12000,,,
1995.1600,11.02000,,,
1995.2136,-11.38000,,,
1995.2400,-17.98000,,,
1995.2680,-15.38000,,,
1995.2949,-11.38000,,,
1995.3221,4.72000,,,
1995.3767,-7.98000,,,
1995.4035,-11.68000,,,
1995.4302,-0.38000,,,
1995.4573,18.92000,,,
1995.4844,29.32000,,,
1995.5389,19.42000,,,
1995.5654,15.52000,,,
1995.5933,-3.08000,,,
1995.6202,39.82000,,,
1995.6468,33.92000,,,
1995.6744,36.42000,,,
1995.7015,45.82000,,,
1995.7287,62.32000,,,
1995.7556,20.32000,,,
1995.7829,-3.88000,,,
1995.8375,35.22000,,,
1995.8643,27.32000,,,
1995.8895,36.22000,,,
1995.9454,86.82000,,,
1995.9727,32.52000,,,
1996.0001,73.32000,,,
1996.0262,51.82000,,,
1996.0536,51.52000,,,
1996.0816,42.12000,,,
1996.1089,43.72000,,,
1996.1635,11.42000,,,
1996.1900,23.02000,,,
1996.2179,21.22000,,,
1996.2447,9.22000,,,
1996.2707,8.02000,,,
1996.2992,-11.48000,,,
1996.3267,31.32000,,,
1996.3533,54.62000,,,
1996.3806,8.82000,,,
1996.4073,20.52000,,,
1996.4346,26.12000,,,
1996.4896,7.12000,,,
1996.5155,33.42000,,,
1996.5433,39.12000,,,
1996.5703,44.02000,,,
1996.5974,47.42000,,,
1996.6248,33.62000,,,
1996.6517,34.62000,,,
1996.6790,46.32000,,,
1996.7048,42.12000,,,
1996.7339,66.32000,,,
1996.7603,73.12000,,,
1996.8139,53.72000,,,
1996.8415,40.92000,,,
1996.8685,62.62000,,,
1996.8959,71.52000,,,
1996.9223,35.42000,,,
1996.9500,10.32000,,,
1996.9775,109.72000,,,
1997.0042,92.22000,,,
1997.0324,72.92000,,,
1997.0587,60.02000,,,
1997.0859,74.42000,,,
1997.1400,53.42000,,,
1997.1681,52.22000,,,
1997.1950,38.62000,,,
1997.2222,39.52000,,,
1997.2496,42.72000,,,
1997.2766,29.82000,,,
1997.3035,23.32000,,,
1997.3310,39.12000,,,
1997.3583,57.12000,,,
1997.3848,36.32000,,,
1997.4120,40.92000,,,
1997.4660,27.52000,,,
1997.4921,38.62000,,,
1997.5201,49.82000,,,
1997.5474,71.62000,,,
1997.5744,71.32000,,,
1997.6291,78.42000,,,
1997.6562,47.42000,,,
1997.6834,74.92000,,,
1997.7106,88.22000,,,
1997.7375,77.32000,,,
1997.7919,108.22000,,,
1997.8191,102.02000,,,
1997.8463,63.72000,,,
1997.8733,66.52000,,,
1997.8988,6.92000,,,
1997.9275,-6.08000,,,
1997.9543,44.92000,,,
1997.9817,46.82000,,,
1998.0079,47.52000,,,
1998.0357,38.62000,,,
1998.0905,24.72000,,,
1998.1177,27.12000,,,
1998.1447,21.92000,,,
1998.1722,28.02000,,,
1998.1992,28.42000,,,
1998.2258,2.82000,,,
1998.2530,-25.08000,,,
1998.2803,-45.48000,,,
1998.3083,12.52000,,,
1998.3351,-6.38000,,,
1998.3625,-30.18000,,,
1998.4168,-0.38000,,,
1998.4433,-1.48000,,,
1998.4705,-3.78000,,,
1998.4982,-2.78000,,,
1998.5247,7.42000,,,
1998.5522,24.52000,,,
1998.6061,48.82000,,,
1998.6334,39.72000,,,
1998.6605,10.12000,,,
1998.6880,27.92000,,,
1998.7146,22.92000,,,
1998.7421,25.92000,,,
1998.7684,21.02000,,,
1998.8234,3.92000,,,
1998.8504,35.72000,,,
1998.8778,7.32000,,,
1998.9037,-48.98000,,,
1998.9320,-19.08000,,,
1998.9597,46.32000,,,
1998.9862,43.92000,,,
1999.0127,21.52000,,,
1999.0408,7.42000,,,
1999.0949,-35.48000,,,
1999.1257,-35.18000,,,
1999.1494,-18.48000,,,
1999.1764,-34.98000,,,
1999.2030,-52.18000,,,
1999.2311,-62.08000,,,
1999.2581,-68.78000,,,
1999.2848,-74.08000,,,
1999.3402,-48.18000,,,
1999.3671,-37.78000,,,
1999.3937,-41.08000,,,
1999.4210,-35.48000,,,
1999.4476,-43.58000,,,
1999.4751,-11.88000,,,
1999.5028,-0.38000,,,
1999.5295,-14.48000,,,
