#title = mean sea level anomaly Caribbean Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.12 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9617,-13.60000,,,
1992.9874,-2.50000,,,
1993.0128,-15.10000,,,
1993.0413,-7.70000,,,
1993.0666,-14.00000,,,
1993.0994,-35.40000,,,
1993.1205,-35.20000,,,
1993.1508,-40.40000,,,
1993.1769,-56.00000,,,
1993.2048,-48.00000,,,
1993.2313,-66.20000,,,
1993.2863,-41.30000,,,
1993.3133,-39.20000,,,
1993.3402,-44.80000,,,
1993.3679,-45.20000,,,
1993.3941,-37.00000,,,
1993.4223,-37.40000,,,
1993.4488,-7.70000,,,
1993.4760,-34.60000,,,
1993.5018,-25.00000,,,
1993.5299,-7.90000,,,
1993.5841,2.20000,,,
1993.6130,11.80000,,,
1993.6400,12.50000,,,
1993.6663,11.50000,,,
1993.6933,17.20000,,,
1993.7192,28.40000,,,
1993.7474,32.30000,,,
1993.7747,37.10000,,,
1993.8014,38.80000,,,
1993.8564,47.80000,,,
1993.8827,20.10000,,,
1993.9108,5.20000,,,
1993.9377,8.20000,,,
1993.9647,1.40000,,,
1993.9920,0.90000,,,
1994.0194,-3.00000,,,
1994.0463,-19.00000,,,
1994.0728,-33.30000,,,
1994.1005,-26.20000,,,
1994.1276,-30.10000,,,
1994.1550,-29.80000,,,
1994.1816,-46.10000,,,
1994.2362,-47.20000,,,
1994.2634,-30.50000,,,
1994.2906,-31.10000,,,
1994.3174,-17.70000,,,
1994.3451,-10.60000,,,
1994.3716,2.30000,,,
1994.3992,11.90000,,,
1994.4265,-11.00000,,,
1994.4528,-23.40000,,,
1994.5068,29.30000,,,
1994.5350,11.70000,,,
1994.5621,14.80000,,,
1994.5894,24.90000,,,
1994.6164,18.40000,,,
1994.6437,27.10000,,,
1994.6707,35.60000,,,
1994.6980,44.60000,,,
1994.7248,35.20000,,,
1994.7513,52.50000,,,
1994.7791,34.80000,,,
1994.8063,37.90000,,,
1994.8328,41.10000,,,
1994.8879,45.50000,,,
1994.9151,39.10000,,,
1994.9423,31.60000,,,
1994.9691,28.00000,,,
1994.9964,1.70000,,,
1995.0236,5.40000,,,
1995.0511,-19.40000,,,
1995.0778,-18.70000,,,
1995.1050,-31.20000,,,
1995.1323,-1.70000,,,
1995.1588,3.90000,,,
1995.2137,-56.90000,,,
1995.2416,-46.10000,,,
1995.2677,-23.20000,,,
1995.2950,-29.40000,,,
1995.3212,-37.60000,,,
1995.3768,-13.20000,,,
1995.4034,-13.20000,,,
1995.4310,-5.70000,,,
1995.4579,0.50000,,,
1995.4846,1.80000,,,
1995.5394,10.40000,,,
1995.5664,2.30000,,,
1995.5937,0.20000,,,
1995.6211,22.20000,,,
1995.6479,20.50000,,,
1995.6753,5.10000,,,
1995.7023,12.50000,,,
1995.7293,30.60000,,,
1995.7562,31.90000,,,
1995.7838,23.30000,,,
1995.8380,7.00000,,,
1995.8653,9.80000,,,
1995.8911,19.20000,,,
1995.9467,8.80000,,,
1995.9737,-14.60000,,,
1995.9997,-39.60000,,,
1996.0274,-36.50000,,,
1996.0538,-26.50000,,,
1996.0818,-29.30000,,,
1996.1093,-48.90000,,,
1996.1640,-54.80000,,,
1996.1910,-52.10000,,,
1996.2184,-70.60000,,,
1996.2453,-70.20000,,,
1996.2726,-59.50000,,,
1996.2994,-76.10000,,,
1996.3270,-57.20000,,,
1996.3541,-36.50000,,,
1996.3814,-38.50000,,,
1996.4083,-26.00000,,,
1996.4347,-29.50000,,,
1996.4898,-37.90000,,,
1996.5166,-33.70000,,,
1996.5442,-5.80000,,,
1996.5712,12.00000,,,
1996.5982,-6.60000,,,
1996.6253,3.20000,,,
1996.6523,17.20000,,,
1996.6793,14.10000,,,
1996.7057,-3.10000,,,
1996.7338,22.50000,,,
1996.7605,41.30000,,,
1996.8154,37.40000,,,
1996.8427,43.30000,,,
1996.8693,34.90000,,,
1996.8972,2.40000,,,
1996.9243,-4.40000,,,
1996.9508,7.90000,,,
1996.9794,-10.80000,,,
1997.0054,-30.70000,,,
1997.0324,-23.60000,,,
1997.0600,-5.40000,,,
1997.0864,-19.90000,,,
1997.1411,-58.70000,,,
1997.1684,-49.30000,,,
1997.1955,-28.70000,,,
1997.2227,-53.30000,,,
1997.2497,-70.10000,,,
1997.2770,-47.90000,,,
1997.3042,-46.20000,,,
1997.3313,-28.30000,,,
1997.3582,-26.20000,,,
1997.3856,-8.90000,,,
1997.4122,-20.70000,,,
1997.4669,2.00000,,,
1997.4929,9.40000,,,
1997.5213,7.50000,,,
1997.5483,-3.30000,,,
1997.5747,-0.90000,,,
1997.6296,21.40000,,,
1997.6568,44.10000,,,
1997.6836,34.50000,,,
1997.7112,51.40000,,,
1997.7380,48.20000,,,
1997.7923,52.60000,,,
1997.8199,67.00000,,,
1997.8467,48.00000,,,
1997.8740,26.10000,,,
1997.9004,29.30000,,,
1997.9289,-12.10000,,,
1997.9557,-9.90000,,,
1997.9826,-4.00000,,,
1998.0093,-1.80000,,,
1998.0366,-4.60000,,,
1998.0922,-32.90000,,,
1998.1185,-14.30000,,,
1998.1456,-10.20000,,,
1998.1729,5.10000,,,
1998.1994,-7.60000,,,
1998.2271,-58.30000,,,
1998.2542,-63.40000,,,
1998.2796,-34.00000,,,
1998.3086,-42.30000,,,
1998.3355,-34.60000,,,
1998.3623,-11.90000,,,
1998.4171,-11.20000,,,
1998.4445,-12.00000,,,
1998.4715,4.90000,,,
1998.4987,12.10000,,,
1998.5260,12.40000,,,
1998.5523,23.90000,,,
1998.6075,-8.00000,,,
1998.6345,14.30000,,,
1998.6613,32.90000,,,
1998.6888,32.10000,,,
1998.7158,30.90000,,,
1998.7427,21.00000,,,
1998.7694,25.90000,,,
1998.8248,50.40000,,,
1998.8515,35.80000,,,
1998.8785,12.70000,,,
1998.9047,-12.40000,,,
1998.9325,-26.50000,,,
1998.9600,7.60000,,,
1998.9876,16.40000,,,
1999.0135,10.70000,,,
1999.0410,-26.60000,,,
1999.0958,-15.00000,,,
1999.1273,-9.40000,,,
1999.1502,-32.40000,,,
1999.1775,-48.70000,,,
1999.2045,-56.70000,,,
1999.2316,-73.00000,,,
1999.2587,-57.60000,,,
1999.2853,-16.00000,,,
1999.3409,-28.50000,,,
1999.3676,-35.70000,,,
1999.3947,-24.90000,,,
1999.4210,-9.40000,,,
1999.4488,-4.90000,,,
1999.4763,-5.50000,,,
1999.5031,-6.00000,,,
1999.5307,8.00000,,,
1999.5575,8.30000,,,
1999.5844,15.70000,,,
1999.6121,19.60000,,,
1999.6377,18.10000,,,
1999.6927,22.70000,,,
1999.7203,33.30000,,,
1999.7473,57.60000,,,
1999.7743,35.10000,,,
1999.8022,17.60000,,,
1999.8295,18.00000,,,
1999.8557,16.80000,,,
1999.8837,-15.40000,,,
1999.9094,-6.70000,,,
1999.9643,-27.90000,,,
1999.9915,-50.00000,,,
2000.0183,-36.80000,,,
2000.0459,-31.40000,,,
2000.0729,-50.00000,,,
2000.1003,-64.80000,,,
2000.1276,-56.70000,,,
2000.1546,-85.40000,,,
2000.1816,-86.10000,,,
2000.2092,-87.50000,,,
2000.2355,-84.70000,,,
2000.2904,-71.60000,,,
2000.3172,-58.20000,,,
2000.3447,-61.00000,,,
2000.3717,-46.80000,,,
2000.3984,-42.50000,,,
2000.4264,-29.90000,,,
2000.4532,-20.70000,,,
2000.4804,-13.80000,,,
2000.5076,-18.70000,,,
2000.5342,-12.70000,,,
2000.5888,1.00000,,,
2000.6156,0.20000,,,
2000.6433,12.80000,,,
2000.6703,-1.30000,,,
2000.6975,27.40000,,,
2000.7241,28.60000,,,
2000.7517,17.10000,,,
2000.7789,23.30000,,,
2000.8055,36.90000,,,
2000.8605,25.60000,,,
2000.8872,21.90000,,,
2000.9155,6.40000,,,
2000.9420,10.30000,,,
2000.9688,1.80000,,,
2000.9963,-14.80000,,,
2001.0227,-8.90000,,,
2001.0778,9.10000,,,
2001.1047,-11.30000,,,
2001.1318,-16.60000,,,
2001.1590,-45.10000,,,
2001.1861,-58.20000,,,
2001.2133,-42.60000,,,
2001.2406,-48.80000,,,
2001.2677,-49.40000,,,
2001.2947,-26.80000,,,
2001.3218,-40.80000,,,
2001.3489,-24.40000,,,
2001.3760,-8.70000,,,
2001.4032,-9.70000,,,
2001.4307,-10.30000,,,
2001.4577,5.30000,,,
2001.4850,20.90000,,,
2001.5121,26.50000,,,
2001.5392,19.20000,,,
2001.5661,20.80000,,,
2001.5931,12.40000,,,
2001.6205,10.90000,,,
2001.6481,30.90000,,,
2001.6751,51.10000,,,
2001.7007,42.10000,,,
2001.7297,71.10000,,,
2001.7563,53.30000,,,
2001.7835,60.90000,,,
2001.8107,52.40000,,,
2001.8384,63.10000,,,
2001.8647,44.20000,,,
2001.8916,31.10000,,,
2001.9190,23.10000,,,
2001.9462,26.70000,,,
2001.9734,26.30000,,,
2002.0009,10.60000,,,
2002.0284,-8.00000,,,
2002.0543,,-4.31000,,
2002.0548,-2.30000,,,
2002.0817,2.20000,,,
2002.0826,,0.79000,,
2002.1092,-8.70000,-1.71000,,
2002.1361,,2.69000,,
2002.1363,-5.00000,,,
2002.1635,-16.70000,,,
2002.1637,,-15.21000,,
2002.1907,-29.00000,,,
2002.1912,,-31.01000,,
2002.2177,,-41.71000,,
2002.2178,-39.30000,,,
2002.2443,,-37.21000,,
2002.2451,-41.50000,,,
2002.2718,-34.00000,,,
2002.2719,,-20.71000,,
2002.2991,,-28.71000,,
2002.3001,-36.70000,,,
2002.3258,-17.70000,,,
2002.3263,,-16.81000,,
2002.3535,,-18.11000,,
2002.3536,-22.40000,,,
2002.3806,,-8.91000,,
2002.3807,-7.50000,,,
2002.4076,,3.69000,,
2002.4077,6.30000,,,
2002.4344,13.00000,,,
2002.4351,,9.79000,,
2002.4616,13.00000,,,
2002.4623,,3.39000,,
2002.4892,5.50000,-6.71000,,
2002.5162,,-0.71000,,
2002.5434,25.00000,,,
2002.5436,,13.89000,,
2002.5707,26.10000,26.89000,,
2002.5976,29.10000,,,
2002.5979,,38.69000,,
2002.6248,,32.39000,,
2002.6258,15.00000,,,
2002.6521,,50.19000,,
2002.6558,35.50000,,,
2002.6788,55.60000,,,
2002.6792,,67.59000,,
2002.7060,,79.59000,,
2002.7069,86.20000,,,
2002.7328,72.90000,,,
2002.7333,,81.19000,,
2002.7606,82.90000,,,
2002.7611,,84.89000,,
2002.7862,105.00000,,,
2002.7877,,106.89000,,
2002.8146,104.10000,,,
2002.8153,,82.09000,,
2002.8416,77.50000,,,
2002.8421,,68.79000,,
2002.8685,60.80000,,,
2002.8692,,57.99000,,
2002.8951,,40.69000,,
2002.8970,47.80000,,,
2002.9231,46.40000,,,
2002.9235,,52.19000,,
2002.9493,50.30000,,,
2002.9506,,45.49000,,
2002.9771,30.60000,,,
2002.9781,,22.19000,,
2003.0049,32.70000,,,
2003.0051,,28.49000,,
2003.0323,,34.29000,,
2003.0327,39.70000,,,
2003.0590,37.70000,36.59000,,
2003.0859,28.20000,,,
2003.0866,,16.09000,,
2003.1124,53.00000,,,
2003.1136,,29.09000,,
2003.1402,27.70000,,,
2003.1407,,24.59000,,
2003.1679,,13.99000,,
2003.1690,35.10000,,,
2003.1946,31.20000,,,
2003.1948,,16.19000,,
2003.2216,9.50000,,,
2003.2223,,22.69000,,
2003.2491,9.90000,,,
2003.2494,,10.19000,,
2003.2766,23.10000,,,
2003.2817,,17.89000,,
2003.3028,3.20000,,,
2003.3040,,-0.21000,,
2003.3308,53.60000,,,
2003.3309,,43.79000,,
2003.3579,,29.89000,,
2003.3590,47.70000,,,
2003.3849,,36.59000,,
2003.3858,27.30000,,,
2003.4116,32.30000,,,
2003.4123,,42.99000,,
2003.4383,40.60000,,,
2003.4392,,27.89000,,
2003.4668,,29.29000,,
2003.4678,36.80000,,,
2003.4940,,34.39000,,
2003.4945,59.10000,,,
2003.5204,54.90000,,,
2003.5209,,44.89000,,
2003.5472,53.10000,,,
2003.5479,,50.39000,,
2003.5750,,48.29000,,
2003.5753,47.50000,,,
2003.6019,61.30000,,,
2003.6024,,53.39000,,
2003.6283,41.10000,,,
2003.6297,,54.59000,,
2003.6563,,62.69000,,
2003.6567,46.00000,,,
2003.6836,,81.49000,,
2003.6848,66.30000,,,
2003.7107,,88.99000,,
2003.7114,74.40000,,,
2003.7377,84.30000,,,
2003.7382,,92.59000,,
2003.7639,81.70000,,,
2003.7650,,93.29000,,
2003.7922,,88.99000,,
