#title = mean sea level anomaly Gulf of Mexico (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.88 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9606,-3.72000,,,
1992.9866,-13.52000,,,
1993.0119,-25.52000,,,
1993.0400,-18.02000,,,
1993.0662,-28.42000,,,
1993.0970,-18.42000,,,
1993.1209,-46.32000,,,
1993.1487,-27.42000,,,
1993.1766,-60.22000,,,
1993.2040,-91.22000,,,
1993.2310,-77.02000,,,
1993.2850,-41.02000,,,
1993.3124,-63.22000,,,
1993.3396,-57.42000,,,
1993.3665,-38.02000,,,
1993.3936,-26.22000,,,
1993.4207,-35.52000,,,
1993.4484,0.38000,,,
1993.4760,9.18000,,,
1993.5011,-0.12000,,,
1993.5297,14.88000,,,
1993.5841,28.48000,,,
1993.6125,11.78000,,,
1993.6383,30.28000,,,
1993.6653,28.08000,,,
1993.6925,30.58000,,,
1993.7193,68.88000,,,
1993.7469,78.78000,,,
1993.7741,66.38000,,,
1993.8008,72.98000,,,
1993.8552,65.78000,,,
1993.8828,24.48000,,,
1993.9095,10.48000,,,
1993.9369,12.28000,,,
1993.9637,-4.82000,,,
1993.9911,-34.62000,,,
1994.0178,-50.52000,,,
1994.0450,-63.32000,,,
1994.0722,-92.32000,,,
1994.0995,-73.62000,,,
1994.1273,-47.42000,,,
1994.1536,-39.02000,,,
1994.1808,-83.82000,,,
1994.2352,-95.72000,,,
1994.2626,-58.12000,,,
1994.2895,-55.62000,,,
1994.3169,-51.12000,,,
1994.3436,-63.72000,,,
1994.3709,-47.62000,,,
1994.3978,-11.02000,,,
1994.4254,-21.32000,,,
1994.4524,-38.02000,,,
1994.5058,-7.02000,,,
1994.5335,-15.92000,,,
1994.5611,-32.72000,,,
1994.5878,5.98000,,,
1994.6157,16.98000,,,
1994.6427,11.18000,,,
1994.6699,29.08000,,,
1994.6968,35.68000,,,
1994.7239,18.78000,,,
1994.7516,25.78000,,,
1994.7784,29.78000,,,
1994.8057,51.98000,,,
1994.8330,38.98000,,,
1994.8867,36.78000,,,
1994.9138,42.88000,,,
1994.9411,11.58000,,,
1994.9685,0.18000,,,
1994.9951,-24.32000,,,
1995.0229,-38.52000,,,
1995.0495,-67.22000,,,
1995.0769,-83.52000,,,
1995.1042,-94.12000,,,
1995.1310,-83.42000,,,
1995.1586,-72.82000,,,
1995.2129,-59.32000,,,
1995.2398,-53.42000,,,
1995.2672,-28.92000,,,
1995.2939,-39.92000,,,
1995.3212,-64.72000,,,
1995.3757,-9.32000,,,
1995.4029,-17.22000,,,
1995.4299,0.48000,,,
1995.4569,-21.92000,,,
1995.4840,-2.92000,,,
1995.5385,12.98000,,,
1995.5656,16.98000,,,
1995.5927,51.98000,,,
1995.6200,51.98000,,,
1995.6468,65.18000,,,
1995.6740,54.18000,,,
1995.7013,61.78000,,,
1995.7292,67.08000,,,
1995.7553,104.38000,,,
1995.7823,78.08000,,,
1995.8369,54.08000,,,
1995.8643,41.78000,,,
1995.8915,18.08000,,,
1995.9457,1.58000,,,
1995.9726,-31.42000,,,
1995.9998,-55.12000,,,
1996.0273,-70.42000,,,
1996.0535,-40.72000,,,
1996.0806,-43.32000,,,
1996.1084,-77.82000,,,
1996.1627,-96.32000,,,
1996.1898,-76.02000,,,
1996.2170,-97.42000,,,
1996.2453,-95.32000,,,
1996.2716,-91.82000,,,
1996.3259,-92.82000,,,
1996.3528,-68.42000,,,
1996.3799,-58.92000,,,
1996.4071,-41.62000,,,
1996.4342,-67.02000,,,
1996.4887,-77.12000,,,
1996.5158,-49.32000,,,
1996.5439,-2.72000,,,
1996.5702,7.78000,,,
1996.5975,-7.32000,,,
1996.6245,-10.72000,,,
1996.6515,2.18000,,,
1996.6785,-1.72000,,,
1996.7064,-0.42000,,,
1996.7328,28.38000,,,
1996.7601,81.88000,,,
1996.8146,37.58000,,,
1996.8417,61.88000,,,
1996.8690,60.78000,,,
1996.8959,32.38000,,,
1996.9229,-1.12000,,,
1996.9500,-17.92000,,,
1996.9780,-42.62000,,,
1997.0049,-48.92000,,,
1997.0317,-26.82000,,,
1997.0587,-33.52000,,,
1997.0862,-44.92000,,,
1997.1405,-81.02000,,,
1997.1672,-59.22000,,,
1997.1945,-31.72000,,,
1997.2219,-45.92000,,,
1997.2485,-61.12000,,,
1997.2761,-40.62000,,,
1997.3030,-41.72000,,,
1997.3307,-35.32000,,,
1997.3578,-25.12000,,,
1997.3847,-40.92000,,,
1997.4118,-43.72000,,,
1997.4660,0.18000,,,
1997.4926,3.48000,,,
1997.5204,-1.22000,,,
1997.5475,15.18000,,,
1997.5749,24.38000,,,
1997.6291,27.68000,,,
1997.6562,41.68000,,,
1997.6831,44.48000,,,
1997.7100,58.28000,,,
1997.7373,42.88000,,,
1997.7919,68.68000,,,
1997.8191,53.78000,,,
1997.8460,12.98000,,,
1997.8731,16.28000,,,
1997.9001,27.38000,,,
1997.9277,-38.02000,,,
1997.9544,-67.52000,,,
1997.9816,-64.42000,,,
1998.0077,-72.02000,,,
1998.0354,-62.32000,,,
1998.0911,-36.12000,,,
1998.1174,-43.52000,,,
1998.1448,-52.72000,,,
1998.1717,-22.82000,,,
1998.1990,-15.12000,,,
1998.2263,-59.02000,,,
1998.2533,-77.42000,,,
1998.2790,-43.22000,,,
1998.3078,-40.42000,,,
1998.3348,-47.62000,,,
1998.3621,-1.12000,,,
1998.4150,-8.32000,,,
1998.4421,-12.92000,,,
1998.4702,10.18000,,,
1998.4972,-19.32000,,,
1998.5245,-0.72000,,,
1998.5522,-1.22000,,,
1998.6063,0.08000,,,
1998.6332,16.78000,,,
1998.6601,58.88000,,,
1998.6879,71.38000,,,
1998.7143,69.58000,,,
1998.7413,56.58000,,,
1998.7689,39.68000,,,
1998.8238,87.48000,,,
1998.8511,62.08000,,,
1998.8777,-3.52000,,,
1998.9053,-21.82000,,,
1998.9322,-27.62000,,,
1998.9592,2.08000,,,
1998.9860,-7.02000,,,
1999.0126,-18.12000,,,
1999.0406,-38.02000,,,
1999.0949,-5.02000,,,
1999.1264,1.48000,,,
1999.1487,-14.62000,,,
1999.1767,-49.52000,,,
1999.2039,-37.82000,,,
1999.2308,-66.92000,,,
1999.2578,-48.12000,,,
1999.2841,-15.32000,,,
1999.3390,6.78000,,,
1999.3664,-22.02000,,,
1999.3937,-14.62000,,,
1999.4205,7.78000,,,
1999.4475,5.48000,,,
1999.4754,0.68000,,,
1999.5020,15.28000,,,
1999.5289,12.38000,,,
1999.5565,4.88000,,,
1999.5836,24.48000,,,
1999.6109,52.68000,,,
1999.6382,52.18000,,,
1999.6922,65.28000,,,
1999.7195,84.58000,,,
1999.7460,116.08000,,,
1999.7736,103.98000,,,
1999.8016,80.28000,,,
1999.8278,78.08000,,,
1999.8550,72.98000,,,
1999.8823,43.28000,,,
1999.9095,60.68000,,,
1999.9633,28.28000,,,
1999.9911,-31.62000,,,
2000.0181,-10.52000,,,
2000.0451,-16.12000,,,
2000.0722,-28.32000,,,
2000.0999,-50.52000,,,
2000.1265,-31.72000,,,
2000.1537,-28.62000,,,
2000.1809,-40.52000,,,
2000.2075,-48.52000,,,
2000.2350,-35.32000,,,
2000.2894,-6.12000,,,
2000.3165,0.08000,,,
2000.3436,-16.22000,,,
2000.3710,-7.32000,,,
2000.3977,15.88000,,,
2000.4248,14.48000,,,
2000.4523,20.48000,,,
2000.4797,19.48000,,,
2000.5064,15.38000,,,
2000.5335,18.38000,,,
2000.5885,36.68000,,,
2000.6150,36.58000,,,
2000.6425,24.08000,,,
2000.6692,26.48000,,,
2000.6963,50.88000,,,
2000.7243,42.38000,,,
2000.7506,49.38000,,,
2000.7787,83.68000,,,
2000.8051,77.68000,,,
2000.8595,73.08000,,,
2000.8862,65.28000,,,
2000.9146,27.58000,,,
2000.9412,11.98000,,,
2000.9679,-10.02000,,,
2000.9949,-32.92000,,,
2001.0227,-49.52000,,,
2001.0767,-56.62000,,,
2001.1043,-46.62000,,,
2001.1309,-65.32000,,,
2001.1580,-72.22000,,,
2001.1853,-75.32000,,,
2001.2121,-55.62000,,,
2001.2398,-71.92000,,,
2001.2668,-50.92000,,,
2001.2936,-44.22000,,,
2001.3208,-62.62000,,,
2001.3483,-30.22000,,,
2001.3751,-20.02000,,,
2001.4023,-27.62000,,,
2001.4305,-33.92000,,,
2001.4561,-32.12000,,,
2001.4847,-14.22000,,,
2001.5110,-8.12000,,,
2001.5381,1.38000,,,
2001.5657,24.08000,,,
2001.5927,30.48000,,,
2001.6195,17.98000,,,
2001.6463,49.08000,,,
2001.6740,47.08000,,,
2001.7010,57.98000,,,
2001.7280,72.78000,,,
2001.7556,69.88000,,,
2001.7824,60.98000,,,
2001.8092,65.68000,,,
2001.8367,86.48000,,,
2001.8638,61.88000,,,
2001.8926,40.98000,,,
2001.9185,39.88000,,,
2001.9455,20.28000,,,
2001.9715,23.18000,,,
2001.9995,17.38000,,,
2002.0271,-30.82000,,,
2002.0533,,-45.99000,,
2002.0538,-42.12000,,,
2002.0815,-54.32000,,,
2002.0816,,-46.99000,,
2002.1072,,-11.59000,,
2002.1075,-21.72000,,,
2002.1347,,-29.29000,,
2002.1351,-27.42000,,,
2002.1621,,-34.89000,,
2002.1623,-43.52000,,,
2002.1891,,-58.09000,,
2002.1897,-60.52000,,,
2002.2160,,-47.39000,,
2002.2172,-44.22000,,,
2002.2432,,-44.99000,,
2002.2441,-57.22000,,,
2002.2704,,-22.89000,,
2002.2712,-43.02000,,,
2002.2976,,-28.39000,,
2002.2986,-41.02000,,,
2002.3248,,-6.69000,,
2002.3250,-4.92000,,,
2002.3520,,2.61000,,
2002.3527,9.98000,,,
2002.3791,,-2.79000,,
2002.3798,-6.02000,,,
2002.4063,,16.61000,,
2002.4067,13.88000,,,
2002.4337,,33.31000,,
2002.4345,23.68000,,,
2002.4606,,17.01000,,
2002.4609,18.18000,,,
2002.4878,,0.61000,,
2002.4886,9.28000,,,
2002.5148,,-3.89000,,
2002.5412,,12.61000,,
2002.5426,21.88000,,,
2002.5693,,23.31000,,
2002.5698,28.68000,,,
2002.5960,,48.21000,,
2002.5972,34.78000,,,
2002.6232,,61.51000,,
2002.6243,52.18000,,,
2002.6500,,69.51000,,
2002.6541,56.48000,,,
2002.6778,110.38000,,,
2002.6781,,94.41000,,
2002.7051,,104.81000,,
2002.7066,114.68000,,,
2002.7318,114.78000,,,
2002.7322,,118.31000,,
2002.7589,,102.61000,,
2002.7592,103.88000,,,
2002.7864,127.18000,119.41000,,
2002.8126,94.78000,,,
2002.8136,,98.81000,,
2002.8404,,78.11000,,
2002.8411,82.38000,,,
2002.8667,54.48000,,,
2002.8675,,51.31000,,
2002.8926,,8.51000,,
2002.8941,-3.32000,,,
2002.9220,,4.31000,,
2002.9222,6.28000,,,
2002.9478,7.88000,,,
2002.9486,,1.11000,,
2002.9761,-19.82000,,,
2002.9766,,-29.39000,,
2003.0031,,-27.59000,,
2003.0038,-31.62000,,,
2003.0290,-5.42000,,,
2003.0311,,-43.39000,,
2003.0570,,-41.89000,,
2003.0582,-16.82000,,,
2003.0848,-51.72000,,,
2003.0850,,-38.89000,,
2003.1109,-48.02000,,,
2003.1121,,-24.09000,,
2003.1396,,-38.29000,,
2003.1411,-60.62000,,,
2003.1663,,-40.49000,,
2003.1677,-41.92000,,,
2003.1931,-27.02000,,,
2003.1933,,-30.39000,,
2003.2203,-28.62000,,,
2003.2209,,-29.79000,,
2003.2464,-29.92000,,,
2003.2479,,-36.39000,,
2003.2763,-33.62000,,,
2003.2788,,-54.29000,,
2003.3020,-35.32000,,,
2003.3022,,-34.29000,,
2003.3293,-6.22000,12.51000,,
2003.3565,,-3.49000,,
2003.3576,-1.12000,,,
2003.3836,,-20.59000,,
2003.3847,-19.12000,,,
2003.4107,-10.32000,,,
2003.4110,,-15.89000,,
2003.4379,14.18000,,,
2003.4381,,-14.49000,,
2003.4649,,-11.29000,,
2003.4663,-3.72000,,,
2003.4917,,38.81000,,
2003.4924,45.28000,,,
2003.5190,48.58000,,,
2003.5191,,32.41000,,
2003.5460,,55.31000,,
2003.5461,49.18000,,,
2003.5734,,25.21000,,
2003.5745,13.58000,,,
2003.6006,26.68000,,,
2003.6007,,24.11000,,
2003.6278,62.88000,48.01000,,
2003.6548,92.48000,,,
2003.6551,,63.51000,,
2003.6827,,72.21000,,
2003.6829,74.98000,,,
2003.7093,,92.71000,,
2003.7100,79.68000,,,
2003.7362,,116.61000,,
2003.7367,95.78000,,,
2003.7635,104.48000,,,
2003.7637,,127.41000,,
2003.7911,,105.01000,,
2003.7927,87.38000,,,
2003.8179,,114.51000,,
2003.8190,80.08000,,,
2003.8444,92.08000,,,
2003.8451,,106.81000,,
2003.8710,,102.51000,,
2003.8713,106.38000,,,
2003.9023,64.88000,,,
2003.9111,,44.41000,,
2003.9264,,27.81000,,
2003.9271,33.38000,,,
2003.9527,29.98000,,,
2003.9537,,12.21000,,
2003.9797,17.48000,,,
2003.9808,,-13.89000,,
2004.0081,,-11.19000,,
2004.0083,17.78000,,,
2004.0349,,-9.09000,,
2004.0355,-2.92000,,,
2004.0612,-43.62000,,,
2004.0619,,-39.59000,,
2004.0893,-48.42000,,,
2004.0896,,-35.59000,,
2004.1126,,-36.39000,,
2004.1180,-55.12000,,,
2004.1444,-42.32000,,,
2004.1481,,-54.89000,,
2004.1707,-49.62000,,,
2004.1708,,-59.09000,,
2004.1977,,-60.89000,,
