#title = mean sea level anomaly Indian Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.23 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-28.04000,,,
1992.9865,-10.44000,,,
1993.0121,5.46000,,,
1993.0405,1.46000,,,
1993.0659,-8.84000,,,
1993.0974,-20.14000,,,
1993.1202,-14.64000,,,
1993.1491,-3.94000,,,
1993.1764,-7.94000,,,
1993.2035,-5.24000,,,
1993.2306,-16.24000,,,
1993.2850,-30.94000,,,
1993.3120,-17.94000,,,
1993.3392,0.86000,,,
1993.3664,-0.44000,,,
1993.3934,-5.04000,,,
1993.4205,-12.04000,,,
1993.4478,-15.74000,,,
1993.4749,-17.64000,,,
1993.5021,-6.24000,,,
1993.5292,-9.04000,,,
1993.5837,-41.54000,,,
1993.6119,-41.34000,,,
1993.6378,-28.04000,,,
1993.6650,-11.04000,,,
1993.6921,-11.64000,,,
1993.7187,-28.24000,,,
1993.7464,-33.04000,,,
1993.7736,-26.84000,,,
1993.8007,-26.84000,,,
1993.8553,-2.74000,,,
1993.8822,-16.44000,,,
1993.9097,-36.24000,,,
1993.9367,-28.94000,,,
1993.9637,-17.54000,,,
1993.9908,-14.34000,,,
1994.0179,-20.34000,,,
1994.0452,-15.74000,,,
1994.0721,-8.44000,,,
1994.0993,-11.24000,,,
1994.1265,-9.64000,,,
1994.1537,-10.14000,,,
1994.1806,-7.24000,,,
1994.2351,-4.14000,,,
1994.2622,-8.44000,,,
1994.2894,-8.24000,,,
1994.3167,-12.94000,,,
1994.3437,2.46000,,,
1994.3708,-4.04000,,,
1994.3980,-16.04000,,,
1994.4251,-13.04000,,,
1994.4522,-6.04000,,,
1994.5065,-31.24000,,,
1994.5336,-25.94000,,,
1994.5608,-21.94000,,,
1994.5880,-4.04000,,,
1994.6151,-6.24000,,,
1994.6422,-21.24000,,,
1994.6694,-15.04000,,,
1994.6966,-20.34000,,,
1994.7238,-27.44000,,,
1994.7508,-22.34000,,,
1994.7781,-15.04000,,,
1994.8052,-14.84000,,,
1994.8323,-18.64000,,,
1994.8867,-16.74000,,,
1994.9138,-12.94000,,,
1994.9410,-9.24000,,,
1994.9682,-16.64000,,,
1994.9952,-3.64000,,,
1995.0224,10.36000,,,
1995.0496,-1.24000,,,
1995.0768,-7.44000,,,
1995.1038,-13.14000,,,
1995.1309,-11.64000,,,
1995.1581,-0.34000,,,
1995.2125,-6.74000,,,
1995.2397,2.16000,,,
1995.2667,8.06000,,,
1995.2939,2.56000,,,
1995.3210,6.26000,,,
1995.3753,-8.34000,,,
1995.4027,-12.64000,,,
1995.4296,21.16000,,,
1995.4567,-0.04000,,,
1995.4838,-19.44000,,,
1995.5383,-29.84000,,,
1995.5653,-14.14000,,,
1995.5925,-14.14000,,,
1995.6195,-23.74000,,,
1995.6467,-32.64000,,,
1995.6741,-20.14000,,,
1995.7010,-23.64000,,,
1995.7283,-5.74000,,,
1995.7555,-18.64000,,,
1995.7825,-25.34000,,,
1995.8369,-13.44000,,,
1995.8641,-18.44000,,,
1995.8898,-28.44000,,,
1995.9455,-19.64000,,,
1995.9726,-1.34000,,,
1996.0001,1.26000,,,
1996.0268,3.76000,,,
1996.0530,-3.74000,,,
1996.0813,-9.64000,,,
1996.1082,11.06000,,,
1996.1630,-3.24000,,,
1996.1898,1.46000,,,
1996.2170,4.36000,,,
1996.2442,13.46000,,,
1996.2712,-1.14000,,,
1996.2983,-6.54000,,,
1996.3255,-14.54000,,,
1996.3527,-10.04000,,,
1996.3798,-15.54000,,,
1996.4070,-0.94000,,,
1996.4341,-7.74000,,,
1996.4884,-9.44000,,,
1996.5156,-0.84000,,,
1996.5427,-26.64000,,,
1996.5700,-37.74000,,,
1996.5970,-14.24000,,,
1996.6242,-18.74000,,,
1996.6514,-36.64000,,,
1996.6785,-50.44000,,,
1996.7052,-31.74000,,,
1996.7332,-17.04000,,,
1996.7598,-17.54000,,,
1996.8142,-6.84000,,,
1996.8413,-10.04000,,,
1996.8685,-22.24000,,,
1996.8958,-1.54000,,,
1996.9229,-0.24000,,,
1996.9501,-6.54000,,,
1996.9768,-34.54000,,,
1997.0042,-29.04000,,,
1997.0314,-4.64000,,,
1997.0585,1.76000,,,
1997.0857,-8.84000,,,
1997.1400,-15.24000,,,
1997.1671,-19.54000,,,
1997.1943,-18.74000,,,
1997.2216,1.96000,,,
1997.2485,2.56000,,,
1997.2757,-3.44000,,,
1997.3029,-9.34000,,,
1997.3300,-15.04000,,,
1997.3571,6.86000,,,
1997.3842,-15.64000,,,
1997.4113,-31.84000,,,
1997.4658,-14.54000,,,
1997.4926,-4.74000,,,
1997.5200,-7.34000,,,
1997.5473,-12.64000,,,
1997.5743,-21.84000,,,
1997.6287,-30.14000,,,
1997.6557,-10.34000,,,
1997.6828,-5.04000,,,
1997.7099,-14.04000,,,
1997.7373,-20.14000,,,
1997.7915,-17.94000,,,
1997.8187,-6.44000,,,
1997.8459,1.36000,,,
1997.8729,-2.74000,,,
1997.8998,-13.84000,,,
1997.9272,-5.94000,,,
1997.9545,-4.84000,,,
1997.9816,-5.74000,,,
1998.0081,-1.74000,,,
1998.0359,-5.04000,,,
1998.0901,4.46000,,,
1998.1173,-0.84000,,,
1998.1444,13.36000,,,
1998.1715,21.86000,,,
1998.1987,24.96000,,,
1998.2260,27.26000,,,
1998.2530,24.46000,,,
1998.2789,32.26000,,,
1998.3073,26.96000,,,
1998.3344,25.76000,,,
1998.3616,21.36000,,,
1998.4156,-18.84000,,,
1998.4430,-14.54000,,,
1998.4702,-4.54000,,,
1998.4975,12.46000,,,
1998.5246,8.56000,,,
1998.5516,-7.04000,,,
1998.6060,-19.84000,,,
1998.6330,-5.24000,,,
