#title = mean sea level anomaly Indonesian (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.35 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9615,-4.93000,,,
1992.9867,1.97000,,,
1993.0125,-8.93000,,,
1993.0400,-20.93000,,,
1993.0665,-10.23000,,,
1993.0971,22.97000,,,
1993.1210,7.27000,,,
1993.1491,3.17000,,,
1993.1762,-31.53000,,,
1993.2037,-32.13000,,,
1993.2306,-36.43000,,,
1993.2853,-60.63000,,,
1993.3124,-71.13000,,,
1993.3393,-93.03000,,,
1993.8010,-92.23000,,,
1993.8551,-76.33000,,,
1993.8825,-58.13000,,,
1993.9097,-53.23000,,,
1993.9372,-44.93000,,,
1993.9639,3.07000,,,
1993.9910,26.57000,,,
1994.0178,4.07000,,,
1994.0452,-2.63000,,,
1994.0718,17.67000,,,
1994.0992,-9.73000,,,
1994.1268,18.97000,,,
1994.1539,49.97000,,,
1994.1805,31.57000,,,
1994.2355,23.37000,,,
1994.2623,22.27000,,,
1994.2897,-8.03000,,,
1994.3169,-24.43000,,,
1994.3444,-33.23000,,,
1994.3707,-64.43000,,,
1994.3979,-87.23000,,,
1994.4253,-82.63000,,,
1994.4524,-86.93000,,,
1994.8325,-90.73000,,,
1994.8871,-82.03000,,,
1994.9140,-66.23000,,,
1994.9414,-31.33000,,,
1994.9684,-37.33000,,,
1994.9953,-52.33000,,,
1995.0226,-35.73000,,,
1995.0496,-11.73000,,,
1995.0770,12.27000,,,
1995.1036,10.97000,,,
1995.1312,-10.53000,,,
1995.1580,16.57000,,,
1995.2125,-3.43000,,,
1995.2396,-0.13000,,,
1995.2667,10.37000,,,
1995.2941,-3.03000,,,
1995.3210,-16.23000,,,
1995.3757,-38.03000,,,
1995.4025,-55.03000,,,
1995.4299,-63.63000,,,
1995.4571,-79.63000,,,
1995.5385,-79.33000,,,
1995.5658,-99.73000,,,
1995.6733,-80.73000,,,
1995.7012,-77.53000,,,
1995.7286,-49.23000,,,
1995.7555,-40.43000,,,
1995.7830,-35.33000,,,
1995.8369,-6.93000,,,
1995.8642,21.17000,,,
1995.8906,51.27000,,,
1995.9461,112.37000,,,
1995.9726,93.47000,,,
1995.9988,65.47000,,,
1996.0266,64.97000,,,
1996.0534,54.97000,,,
1996.0812,58.27000,,,
1996.1086,54.97000,,,
1996.1630,78.17000,,,
1996.1902,43.77000,,,
1996.2170,23.07000,,,
1996.2442,28.27000,,,
1996.2712,48.77000,,,
1996.2985,44.37000,,,
1996.3256,40.77000,,,
1996.3528,43.67000,,,
1996.3803,18.07000,,,
1996.4073,4.87000,,,
1996.4343,-2.23000,,,
1996.4885,-19.23000,,,
1996.5158,-28.33000,,,
1996.5431,-15.43000,,,
1996.5699,-29.63000,,,
1996.5974,-42.93000,,,
1996.6241,-40.33000,,,
1996.6511,-33.23000,,,
1996.6787,-33.23000,,,
1996.7053,-15.03000,,,
1996.7343,-1.93000,,,
1996.7598,5.27000,,,
1996.8145,37.07000,,,
1996.8416,55.87000,,,
1996.8686,50.87000,,,
1996.8959,63.37000,,,
1996.9233,70.77000,,,
1996.9497,69.17000,,,
1996.9771,98.87000,,,
1997.0043,106.27000,,,
1997.0312,71.27000,,,
1997.0585,55.67000,,,
1997.0861,61.77000,,,
1997.1401,110.37000,,,
1997.1675,115.47000,,,
1997.1944,45.37000,,,
1997.2220,18.57000,,,
1997.2486,16.97000,,,
1997.2759,-26.13000,,,
1997.3031,-46.33000,,,
1997.3300,-43.53000,,,
1997.3574,-50.73000,,,
1997.3846,-56.73000,,,
1997.4116,-39.63000,,,
1997.9819,-87.43000,,,
1998.0085,-72.53000,,,
1998.0356,-84.53000,,,
1998.0902,-87.63000,,,
1998.1174,-77.13000,,,
1998.1447,-52.63000,,,
1998.1718,-26.43000,,,
1998.1992,-56.13000,,,
1998.2256,-26.13000,,,
1998.2531,-45.83000,,,
1998.2789,-36.13000,,,
1998.3079,-11.83000,,,
1998.3347,-15.43000,,,
1998.3612,-27.13000,,,
1998.4157,-0.73000,,,
1998.4437,-4.43000,,,
1998.4706,-2.63000,,,
1998.4977,-6.83000,,,
1998.5246,-26.73000,,,
1998.5509,-24.63000,,,
1998.6061,-21.53000,,,
1998.6330,-24.23000,,,
1998.6604,-17.83000,,,
1998.6876,-19.03000,,,
1998.7145,-16.03000,,,
1998.7420,21.47000,,,
1998.7687,56.17000,,,
1998.8233,88.17000,,,
1998.8504,103.97000,,,
1998.8775,123.17000,,,
1998.9044,118.97000,,,
1998.9318,140.27000,,,
1998.9591,117.97000,,,
1998.9861,126.27000,,,
1999.0126,104.77000,,,
1999.0407,125.97000,,,
1999.0947,128.07000,,,
1999.1264,162.07000,,,
1999.1491,140.77000,,,
1999.1760,109.37000,,,
1999.2035,100.17000,,,
1999.2308,121.97000,,,
1999.2568,132.87000,,,
1999.2853,126.77000,,,
1999.3391,74.27000,,,
1999.3662,62.57000,,,
1999.3932,68.27000,,,
1999.4204,58.37000,,,
1999.4478,37.27000,,,
1999.4750,8.97000,,,
1999.5020,-16.53000,,,
1999.5293,-17.73000,,,
1999.5563,-39.93000,,,
1999.5835,-35.53000,,,
1999.6101,-56.53000,,,
1999.6378,-48.43000,,,
1999.6921,-40.13000,,,
1999.7193,-23.03000,,,
1999.7462,-8.63000,,,
1999.7733,28.07000,,,
1999.8007,54.57000,,,
1999.8273,72.27000,,,
1999.8547,87.97000,,,
1999.8816,93.47000,,,
1999.9091,93.67000,,,
1999.9633,127.17000,,,
1999.9904,145.37000,,,
2000.0183,108.47000,,,
2000.0450,96.67000,,,
2000.0723,121.17000,,,
2000.0992,121.47000,,,
2000.1262,134.57000,,,
2000.1533,157.37000,,,
2000.1805,149.27000,,,
2000.2078,144.07000,,,
2000.2347,150.77000,,,
2000.2893,140.67000,,,
2000.3166,141.77000,,,
2000.3437,96.97000,,,
2000.3707,88.67000,,,
2000.3976,73.37000,,,
2000.4250,36.87000,,,
2000.4523,22.17000,,,
2000.4796,14.97000,,,
2000.5063,6.77000,,,
2000.5336,18.17000,,,
2000.5876,-17.23000,,,
2000.6149,-18.83000,,,
2000.6420,-4.93000,,,
2000.6692,-3.63000,,,
2000.6965,-16.13000,,,
2000.7235,2.97000,,,
2000.7507,21.57000,,,
2000.7778,33.97000,,,
2000.8051,36.67000,,,
2000.8597,70.07000,,,
2000.8858,75.27000,,,
2000.9148,105.97000,,,
2000.9408,133.07000,,,
2000.9678,107.67000,,,
2000.9952,96.37000,,,
2001.0225,103.27000,,,
2001.0764,106.27000,,,
2001.1040,156.17000,,,
2001.1311,180.67000,,,
2001.1582,161.57000,,,
2001.1851,143.67000,,,
2001.2125,122.67000,,,
2001.2388,100.87000,,,
2001.2668,109.87000,,,
2001.2938,88.57000,,,
2001.3209,69.47000,,,
2001.3481,76.07000,,,
2001.3753,62.27000,,,
2001.4018,28.87000,,,
2001.4294,32.77000,,,
2001.4563,21.57000,,,
2001.4837,-0.53000,,,
2001.5109,-9.63000,,,
2001.5377,-23.83000,,,
2001.5654,-51.83000,,,
2001.5926,-45.83000,,,
2001.6198,-50.33000,,,
2001.6466,-66.23000,,,
2001.6737,-37.13000,,,
2001.7006,-21.83000,,,
2001.7281,-18.33000,,,
2001.7554,-11.13000,,,
2001.7821,2.67000,,,
2001.8099,14.97000,,,
2001.8370,33.37000,,,
2001.8641,40.37000,,,
2001.8917,67.47000,,,
2001.9183,76.57000,,,
2001.9455,61.27000,,,
2001.9724,53.87000,,,
2001.9996,66.27000,,,
2002.0272,52.47000,,,
2002.0536,,18.95000,,
2002.0541,35.87000,,,
2002.0811,54.27000,,,
2002.0817,,38.75000,,
2002.1082,,74.95000,,
2002.1084,81.17000,,,
2002.1349,,90.95000,,
2002.1355,103.57000,,,
2002.1618,,65.25000,,
2002.1624,70.47000,,,
2002.1893,58.57000,,,
2002.1900,,43.75000,,
2002.2162,,27.15000,,
2002.2166,35.67000,,,
2002.2430,,21.45000,,
2002.2439,21.37000,,,
2002.2707,23.17000,,,
2002.2708,,23.55000,,
2002.2982,,12.15000,,
2002.2989,0.67000,,,
2002.3250,,-17.45000,,
2002.3253,-10.63000,,,
2002.3520,,-11.75000,,
2002.3524,-5.63000,,,
2002.3795,,8.55000,,
2002.3797,9.07000,,,
2002.4066,,-11.85000,,
2002.4074,-18.73000,,,
2002.4338,,-31.45000,,
2002.4340,-39.23000,,,
2002.4611,,-17.05000,,
2002.4613,-26.23000,,,
2002.4885,-37.23000,-34.95000,,
2002.5151,,-68.55000,,
2002.5421,,-49.45000,,
2002.5427,-61.23000,,,
2002.5693,,-60.35000,,
2002.5696,-77.73000,,,
2002.5967,,-68.45000,,
2002.5968,-83.93000,,,
2002.6238,,-80.85000,,
2002.6244,-98.63000,,,
2002.6510,,-90.15000,,
2002.6549,-90.13000,,,
2002.7053,,-87.35000,,
2002.7059,-82.73000,,,
2002.7316,-85.03000,,,
2002.7320,,-78.15000,,
2002.7587,-93.23000,,,
2002.7596,,-80.15000,,
2002.7847,-84.93000,,,
2002.7866,,-81.45000,,
2002.8139,-53.73000,,,
2002.8140,,-50.35000,,
2002.8407,-60.43000,,,
2002.8408,,-73.15000,,
2002.8673,-66.33000,,,
2002.8677,,-68.75000,,
2002.8936,,-65.05000,,
2002.8957,-75.63000,,,
2002.9215,-40.23000,,,
2002.9219,,-33.15000,,
2002.9487,-28.83000,,,
2002.9499,,-26.05000,,
2002.9758,-24.63000,,,
2002.9769,,-30.65000,,
2003.0031,-3.23000,,,
2003.0041,,0.65000,,
2003.0300,60.67000,,,
2003.0305,,55.35000,,
2003.0571,13.87000,,,
2003.0574,,8.25000,,
2003.0840,-10.13000,,,
2003.0853,,2.55000,,
2003.1116,23.97000,,,
2003.1126,,24.15000,,
2003.1388,39.17000,,,
2003.1396,,26.35000,,
2003.1656,44.97000,,,
2003.1664,,39.45000,,
2003.1929,26.47000,,,
2003.1936,,26.15000,,
2003.2202,1.37000,,,
2003.2213,,4.15000,,
2003.2473,,11.55000,,
2003.2478,5.37000,,,
2003.2749,12.47000,,,
2003.2799,,0.55000,,
2003.3015,-6.53000,,,
2003.3030,,-19.85000,,
2003.3290,-20.03000,,,
2003.3295,,-40.65000,,
2003.3554,-16.23000,,,
2003.3567,,-16.25000,,
2003.3832,0.17000,,,
2003.3839,,9.75000,,
2003.4103,-20.43000,,,
2003.4109,,-13.85000,,
2003.4374,-40.63000,,,
2003.4382,,-38.25000,,
2003.4648,-57.23000,,,
2003.4655,,-50.35000,,
2003.4917,-69.83000,,,
2003.4929,,-65.85000,,
2003.5184,-81.13000,,,
2003.5200,,-81.65000,,
2003.5460,-82.83000,,,
2003.5469,,-83.85000,,
2003.6001,-99.53000,,,
2003.6015,,-94.95000,,
2003.6276,-83.13000,,,
2003.6287,,-87.85000,,
2003.6546,-83.73000,,,
