#title = mean sea level anomaly Mediterranean Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.20 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9612,39.37000,,,
1992.9855,-12.63000,,,
1993.0117,-83.23000,,,
1993.0405,-49.33000,,,
1993.0659,-90.63000,,,
1993.0977,-65.93000,,,
1993.1762,-57.23000,,,
1993.2029,-73.93000,,,
1993.2845,-93.93000,,,
1993.3113,-78.73000,,,
1993.3388,-54.73000,,,
1993.3665,-49.83000,,,
1993.3934,-35.93000,,,
1993.4201,-40.13000,,,
1993.4482,-41.43000,,,
1993.4744,-44.73000,,,
1993.4998,-36.13000,,,
1993.5283,-41.93000,,,
1993.5828,-14.73000,,,
1993.6105,-19.83000,,,
1993.6373,10.37000,,,
1993.6643,49.77000,,,
1993.6914,45.77000,,,
1993.7181,78.97000,,,
1993.7458,52.37000,,,
1993.7729,105.77000,,,
1993.8002,101.37000,,,
1993.8550,81.67000,,,
1993.8815,-23.53000,,,
1993.9090,-9.03000,,,
1993.9362,20.07000,,,
1993.9631,5.07000,,,
1993.9898,1.17000,,,
1994.0174,28.37000,,,
1994.0445,-5.03000,,,
1994.1256,-13.13000,,,
1994.1529,-40.23000,,,
1994.2883,-91.43000,,,
1994.3160,-40.23000,,,
1994.3433,-60.73000,,,
1994.3701,-52.73000,,,
1994.3972,-8.73000,,,
1994.4245,-42.13000,,,
1994.4518,-52.83000,,,
1994.5050,-39.13000,,,
1994.5332,-26.33000,,,
1994.5601,-39.73000,,,
1994.5876,6.17000,,,
1994.6147,18.37000,,,
1994.6417,22.67000,,,
1994.6688,36.47000,,,
1994.6961,35.87000,,,
1994.7231,55.77000,,,
1994.7505,60.57000,,,
1994.7766,34.37000,,,
1994.8048,54.17000,,,
1994.8318,79.37000,,,
1994.8853,63.07000,,,
1994.9132,47.17000,,,
1994.9402,19.47000,,,
1994.9675,6.57000,,,
1994.9946,7.57000,,,
1995.0219,-33.83000,,,
1995.0490,-72.73000,,,
1995.0760,-49.63000,,,
1995.1031,-45.43000,,,
1995.1302,-24.93000,,,
1995.1578,-86.93000,,,
1995.2938,-74.33000,,,
