#title = mean sea level anomaly Nino34 (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9613,-3.31000,,,
1992.9864,-9.11000,,,
1993.0123,-4.51000,,,
1993.0407,-7.21000,,,
1993.0660,-12.01000,,,
1993.0975,-18.21000,,,
1993.1206,-21.01000,,,
1993.1493,-17.01000,,,
1993.1764,-8.31000,,,
1993.2037,-7.41000,,,
1993.2305,-10.11000,,,
1993.2851,-12.61000,,,
1993.3123,-7.31000,,,
1993.3394,-13.71000,,,
1993.3666,-11.61000,,,
1993.3938,-17.61000,,,
1993.4208,-30.01000,,,
1993.4480,-29.31000,,,
1993.4752,-26.71000,,,
1993.5021,-21.81000,,,
1993.5294,-16.31000,,,
1993.5837,-36.91000,,,
1993.6118,-30.01000,,,
1993.6380,-19.01000,,,
1993.6652,-5.31000,,,
1993.6924,-1.61000,,,
1993.7189,-9.31000,,,
1993.7464,-7.81000,,,
1993.7737,4.69000,,,
1993.8009,8.29000,,,
1993.8553,9.59000,,,
1993.8824,4.29000,,,
1993.9099,-1.21000,,,
1993.9368,-7.11000,,,
1993.9638,-1.31000,,,
1993.9908,-1.51000,,,
1994.0180,-14.31000,,,
1994.0451,-13.91000,,,
1994.0723,-21.61000,,,
1994.0995,-33.61000,,,
1994.1269,-38.91000,,,
1994.1539,-33.51000,,,
1994.1808,-26.11000,,,
1994.2352,-23.81000,,,
1994.2625,-23.21000,,,
1994.2895,-19.91000,,,
1994.3168,-17.71000,,,
1994.3438,-21.21000,,,
1994.3710,-31.71000,,,
1994.3982,-35.21000,,,
1994.4253,-28.51000,,,
1994.4525,-16.11000,,,
1994.5068,-26.71000,,,
1994.5339,-26.01000,,,
1994.5612,-28.11000,,,
1994.5883,-18.91000,,,
1994.6154,-8.71000,,,
1994.6426,-5.91000,,,
1994.6696,-2.81000,,,
1994.6967,-0.21000,,,
1994.7239,4.29000,,,
1994.7513,15.09000,,,
1994.7782,20.79000,,,
1994.8055,31.59000,,,
1994.8326,35.99000,,,
1994.8868,29.69000,,,
1994.9139,26.89000,,,
1994.9412,27.59000,,,
1994.9683,20.99000,,,
1994.9954,16.39000,,,
1995.0226,11.79000,,,
1995.0496,3.19000,,,
1995.0768,4.09000,,,
1995.1041,-1.31000,,,
1995.1311,-9.51000,,,
1995.1584,-3.51000,,,
1995.2126,-17.01000,,,
1995.2398,-22.41000,,,
1995.2669,-15.81000,,,
1995.2941,-13.01000,,,
1995.3214,-16.91000,,,
1995.3755,-22.31000,,,
1995.4029,-19.61000,,,
1995.4298,-13.11000,,,
1995.4570,-14.31000,,,
1995.4841,-21.51000,,,
1995.5385,-22.81000,,,
1995.5656,-17.61000,,,
1995.5927,-17.11000,,,
1995.6199,-11.81000,,,
1995.6470,-22.01000,,,
1995.6739,-26.01000,,,
1995.7013,-14.11000,,,
1995.7285,-1.41000,,,
