#title = mean sea level anomaly North Atlantic (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.67 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9620,-0.65000,,,
1992.9873,-0.95000,,,
1993.0129,-16.75000,,,
1993.0413,-8.85000,,,
1993.0667,-36.05000,,,
1993.0978,-36.15000,,,
1993.1213,-38.15000,,,
1993.1501,-52.25000,,,
1993.1773,-60.15000,,,
1993.2041,-55.55000,,,
1993.2315,-73.45000,,,
1993.2857,-62.05000,,,
1993.3129,-70.15000,,,
1993.3400,-69.15000,,,
1993.3672,-56.15000,,,
1993.3943,-52.55000,,,
1993.4213,-58.75000,,,
1993.4486,-41.05000,,,
1993.4759,-46.15000,,,
1993.5027,-30.35000,,,
1993.5301,-17.85000,,,
1993.5843,-2.25000,,,
1993.6121,2.85000,,,
1993.6389,23.45000,,,
1993.6659,22.65000,,,
1993.6929,26.65000,,,
1993.7195,34.65000,,,
1993.7471,37.25000,,,
1993.7743,41.35000,,,
1993.8016,33.95000,,,
1993.8559,35.55000,,,
1993.8829,18.05000,,,
1993.9103,20.85000,,,
1993.9371,13.05000,,,
1993.9646,-0.35000,,,
1993.9912,2.05000,,,
1994.0188,-23.15000,,,
1994.0454,-32.25000,,,
1994.0729,-48.95000,,,
1994.1001,-48.15000,,,
1994.1272,-53.05000,,,
1994.1545,-55.25000,,,
1994.1817,-64.45000,,,
1994.2358,-74.25000,,,
1994.2632,-64.85000,,,
1994.2902,-79.75000,,,
1994.3175,-68.35000,,,
1994.3444,-56.85000,,,
1994.3717,-52.45000,,,
1994.3988,-46.55000,,,
1994.4259,-49.85000,,,
1994.4531,-43.85000,,,
1994.5073,-14.75000,,,
1994.5345,-32.05000,,,
1994.5616,-28.35000,,,
1994.5889,3.65000,,,
1994.6159,13.25000,,,
1994.6431,19.75000,,,
1994.6703,34.25000,,,
1994.6974,46.45000,,,
1994.7246,41.45000,,,
1994.7517,48.55000,,,
1994.7787,46.35000,,,
1994.8062,38.85000,,,
1994.8332,35.75000,,,
1994.8875,38.75000,,,
1994.9145,26.15000,,,
1994.9418,24.55000,,,
1994.9691,13.15000,,,
1994.9964,-6.25000,,,
1995.0234,-12.75000,,,
1995.0503,-24.15000,,,
1995.0772,-36.35000,,,
1995.1044,-40.85000,,,
1995.1318,-29.35000,,,
1995.1587,-19.25000,,,
1995.2132,-60.85000,,,
1995.2406,-54.35000,,,
1995.2675,-46.65000,,,
1995.2947,-41.85000,,,
1995.3218,-49.25000,,,
1995.3761,-33.15000,,,
1995.4033,-30.85000,,,
1995.4304,-36.45000,,,
1995.4576,-33.25000,,,
1995.4847,-38.85000,,,
1995.5391,-6.35000,,,
1995.5662,-2.55000,,,
1995.5933,11.55000,,,
1995.6204,46.05000,,,
1995.6476,43.75000,,,
1995.6746,42.95000,,,
1995.7019,48.25000,,,
1995.7291,57.55000,,,
1995.7562,66.35000,,,
1995.7834,64.45000,,,
1995.8377,38.95000,,,
1995.8648,39.65000,,,
1995.8905,35.85000,,,
1995.9462,23.75000,,,
1995.9736,3.45000,,,
1996.0002,-21.05000,,,
1996.0280,-24.15000,,,
1996.0543,-31.45000,,,
1996.0817,-37.25000,,,
1996.1092,-43.05000,,,
1996.1637,-46.05000,,,
1996.1904,-55.35000,,,
1996.2177,-68.35000,,,
1996.2448,-77.85000,,,
1996.2720,-58.15000,,,
1996.2993,-65.85000,,,
1996.3263,-56.55000,,,
1996.3536,-54.75000,,,
1996.3805,-44.45000,,,
1996.4077,-26.65000,,,
1996.4347,-49.15000,,,
1996.4891,-43.95000,,,
1996.5164,-12.45000,,,
1996.5434,8.55000,,,
1996.5707,21.15000,,,
1996.5980,2.05000,,,
1996.6251,18.25000,,,
1996.6521,33.35000,,,
1996.6792,45.45000,,,
1996.7057,46.65000,,,
1996.7339,60.55000,,,
1996.7607,61.15000,,,
1996.8152,60.45000,,,
1996.8422,53.55000,,,
1996.8691,53.75000,,,
1996.8965,29.15000,,,
1996.9237,16.25000,,,
1996.9509,10.35000,,,
1996.9773,2.55000,,,
1997.0050,-5.05000,,,
1997.0323,10.15000,,,
1997.0593,9.85000,,,
1997.0864,-19.25000,,,
1997.1413,-51.55000,,,
1997.1675,-44.95000,,,
1997.1952,-29.55000,,,
1997.2222,-47.85000,,,
1997.2493,-62.05000,,,
1997.2765,-62.15000,,,
1997.3037,-57.15000,,,
1997.3309,-43.45000,,,
1997.3578,-32.65000,,,
1997.3852,-29.15000,,,
1997.4122,-35.85000,,,
1997.4665,-42.05000,,,
1997.4935,-21.85000,,,
1997.5208,-21.25000,,,
1997.5479,-6.55000,,,
1997.5751,3.05000,,,
1997.6293,17.35000,,,
1997.6566,33.65000,,,
1997.6835,50.45000,,,
1997.7109,51.85000,,,
1997.7381,45.15000,,,
1997.7922,52.35000,,,
1997.8194,43.65000,,,
1997.8465,39.05000,,,
1997.8737,33.55000,,,
1997.9008,9.65000,,,
1997.9280,-2.55000,,,
1997.9550,-8.65000,,,
1997.9822,-12.65000,,,
1998.0094,-5.85000,,,
1998.0367,2.65000,,,
1998.0910,-48.55000,,,
1998.1180,-36.25000,,,
1998.1452,-45.95000,,,
1998.1723,-42.85000,,,
1998.1995,-44.15000,,,
1998.2267,-69.55000,,,
1998.2540,-48.95000,,,
1998.2797,-58.25000,,,
1998.3081,-46.95000,,,
1998.3353,-39.75000,,,
1998.3624,-27.35000,,,
1998.4164,-45.65000,,,
1998.4438,-42.75000,,,
1998.4710,-16.45000,,,
1998.4982,-2.75000,,,
1998.5253,16.45000,,,
1998.5525,28.55000,,,
1998.6068,24.45000,,,
1998.6339,44.65000,,,
1998.6611,61.85000,,,
1998.6880,67.05000,,,
1998.7154,68.95000,,,
1998.7424,46.75000,,,
1998.7693,53.25000,,,
1998.8239,77.85000,,,
1998.8508,57.35000,,,
1998.8782,39.65000,,,
1998.9052,30.75000,,,
1998.9324,23.25000,,,
1998.9599,35.35000,,,
1998.9867,30.65000,,,
1999.0142,17.15000,,,
1999.0411,-2.45000,,,
1999.0956,-1.15000,,,
1999.1263,-8.75000,,,
1999.1495,-4.35000,,,
1999.1768,-30.25000,,,
1999.2041,-28.15000,,,
1999.2310,-57.65000,,,
1999.2584,-45.05000,,,
1999.2853,-19.95000,,,
1999.3399,-32.05000,,,
1999.3668,-43.75000,,,
1999.3939,-41.75000,,,
1999.4213,-19.95000,,,
1999.4483,-9.75000,,,
1999.4755,-6.65000,,,
1999.5026,9.25000,,,
1999.5297,14.55000,,,
1999.5569,22.45000,,,
1999.5841,40.85000,,,
1999.6112,49.85000,,,
1999.6383,59.95000,,,
1999.6926,64.35000,,,
1999.7197,65.05000,,,
1999.7466,78.55000,,,
1999.7741,64.65000,,,
1999.8012,68.55000,,,
1999.8285,58.25000,,,
1999.8556,63.75000,,,
1999.8827,50.95000,,,
1999.9098,45.45000,,,
1999.9641,30.95000,,,
1999.9912,18.85000,,,
2000.0184,35.75000,,,
2000.0454,22.35000,,,
2000.0727,5.95000,,,
2000.0994,4.25000,,,
2000.1272,10.35000,,,
2000.1543,-21.35000,,,
2000.1814,-26.35000,,,
2000.2085,-38.25000,,,
2000.2356,-42.65000,,,
2000.2898,-20.45000,,,
2000.3171,-26.65000,,,
2000.3442,-39.45000,,,
2000.3714,-24.85000,,,
2000.3984,-16.35000,,,
2000.4256,-14.95000,,,
2000.4528,-7.75000,,,
2000.4799,-3.75000,,,
2000.5071,0.05000,,,
2000.5343,12.35000,,,
2000.5885,42.05000,,,
2000.6154,43.75000,,,
2000.6429,43.45000,,,
2000.6699,38.45000,,,
2000.6972,61.25000,,,
2000.7239,66.75000,,,
2000.7515,72.65000,,,
2000.7785,55.65000,,,
2000.8057,70.45000,,,
2000.8601,61.25000,,,
2000.8863,46.95000,,,
2000.9149,39.95000,,,
2000.9415,30.05000,,,
2000.9687,18.15000,,,
2000.9956,6.05000,,,
2001.0228,0.15000,,,
2001.0776,1.25000,,,
2001.1046,-21.35000,,,
2001.1315,-22.55000,,,
2001.1588,-42.65000,,,
2001.1858,-48.35000,,,
2001.2129,-58.45000,,,
2001.2401,-59.35000,,,
2001.2673,-62.95000,,,
2001.2944,-60.05000,,,
2001.3214,-62.05000,,,
2001.3487,-46.75000,,,
2001.3758,-49.45000,,,
2001.4030,-55.55000,,,
2001.4301,-43.85000,,,
2001.4572,-32.75000,,,
2001.4844,-19.25000,,,
2001.5116,-5.65000,,,
2001.5386,3.85000,,,
2001.5659,21.75000,,,
2001.5929,15.45000,,,
2001.6202,4.55000,,,
2001.6473,28.55000,,,
2001.6744,46.15000,,,
2001.7016,58.15000,,,
2001.7288,64.15000,,,
2001.7559,54.65000,,,
2001.7833,56.95000,,,
2001.8102,64.85000,,,
2001.8374,71.05000,,,
2001.8646,59.75000,,,
2001.8923,37.25000,,,
2001.9188,30.15000,,,
2001.9460,16.85000,,,
2001.9732,9.95000,,,
2002.0000,6.75000,,,
2002.0272,-0.95000,,,
2002.0538,,-8.09000,,
2002.0541,-7.05000,,,
2002.0817,-5.45000,,,
2002.0823,,-1.09000,,
2002.1089,-10.95000,-10.09000,,
2002.1359,,-14.39000,,
2002.1360,-19.05000,,,
2002.1632,-16.55000,,,
2002.1633,,-19.89000,,
2002.1903,-39.85000,,,
2002.1907,,-51.39000,,
2002.2176,-46.95000,-58.99000,,
2002.2446,-68.55000,-67.29000,,
2002.2716,,-42.79000,,
2002.2717,-50.45000,,,
2002.2991,,-43.19000,,
2002.2999,-52.15000,,,
2002.3260,-33.95000,,,
2002.3261,,-31.19000,,
2002.3532,-52.45000,-50.69000,,
2002.3802,-32.05000,,,
2002.3803,,-33.49000,,
2002.4073,-26.75000,,,
2002.4074,,-27.89000,,
2002.4345,-28.65000,-25.49000,,
2002.4618,,-24.79000,,
2002.4620,-25.15000,,,
2002.4889,-34.15000,-39.59000,,
2002.5161,,-10.29000,,
2002.5432,30.05000,,,
2002.5434,,19.41000,,
2002.5702,23.85000,,,
2002.5704,,29.51000,,
2002.5974,20.05000,,,
2002.5976,,33.01000,,
2002.6246,24.75000,37.11000,,
2002.6520,,51.61000,,
2002.6553,51.25000,,,
2002.6789,65.95000,62.61000,,
2002.7060,,71.91000,,
2002.7066,75.05000,,,
2002.7330,63.55000,,,
2002.7332,,67.51000,,
2002.7603,57.65000,,,
2002.7605,,54.91000,,
2002.7862,76.85000,,,
2002.7874,,76.91000,,
2002.8147,,51.31000,,
2002.8148,58.35000,,,
2002.8415,63.45000,,,
2002.8416,,48.71000,,
2002.8686,45.75000,,,
2002.8690,,31.01000,,
2002.8950,,26.81000,,
2002.8979,32.25000,,,
2002.9231,36.05000,,,
2002.9232,,31.21000,,
2002.9503,26.75000,,,
2002.9505,,22.31000,,
2002.9771,13.15000,,,
2002.9773,,12.31000,,
2003.0043,5.35000,,,
2003.0048,,0.31000,,
2003.0317,,-5.79000,,
2003.0318,-2.45000,,,
2003.0592,-0.75000,,,
2003.0594,,-6.09000,,
2003.0861,-18.65000,,,
2003.0863,,-22.39000,,
2003.1129,-17.05000,,,
2003.1131,,-19.29000,,
2003.1404,-21.25000,,,
2003.1406,,-28.09000,,
2003.1674,-18.95000,,,
2003.1677,,-38.89000,,
2003.1951,-21.85000,,,
2003.1953,,-36.29000,,
2003.2217,-29.65000,,,
2003.2219,,-39.29000,,
2003.2487,-44.75000,,,
2003.2491,,-45.59000,,
2003.2758,-46.45000,,,
2003.2808,,-53.39000,,
2003.3033,-56.15000,-54.39000,,
2003.3301,-31.15000,,,
2003.3304,,-31.99000,,
2003.3576,,-28.69000,,
2003.3577,-17.45000,,,
2003.3845,-33.35000,,,
2003.3848,,-35.99000,,
2003.4116,-18.55000,,,
2003.4120,,-22.99000,,
2003.4385,-16.95000,,,
2003.4392,,-25.49000,,
2003.4662,-0.85000,-8.79000,,
2003.4932,,-7.59000,,
2003.4933,14.95000,,,
2003.5203,7.25000,,,
2003.5207,,4.61000,,
2003.5472,11.75000,,,
2003.5476,,17.81000,,
2003.5747,14.65000,,,
2003.5748,,20.81000,,
2003.6018,45.15000,,,
2003.6021,,46.71000,,
2003.6288,49.95000,,,
2003.6293,,46.11000,,
2003.6559,43.15000,,,
2003.6562,,44.91000,,
2003.6834,64.55000,63.81000,,
2003.7103,64.25000,,,
2003.7106,,74.71000,,
2003.7375,72.85000,,,
2003.7378,,78.01000,,
2003.7647,66.75000,,,
2003.7649,,65.01000,,
2003.7918,69.25000,,,
2003.7922,,59.81000,,
2003.8191,74.45000,,,
2003.8192,,63.91000,,
2003.8460,90.15000,,,
2003.8464,,69.01000,,
2003.8712,,61.61000,,
2003.8735,56.65000,,,
2003.9004,29.25000,,,
2003.9113,,32.81000,,
2003.9274,36.75000,,,
2003.9277,,35.61000,,
2003.9547,41.35000,,,
2003.9549,,33.61000,,
2003.9816,25.05000,,,
2003.9820,,16.21000,,
2004.0090,-0.55000,,,
2004.0092,,3.31000,,
2004.0359,14.45000,,,
2004.0362,,17.31000,,
2004.0630,-0.95000,,,
2004.0634,,1.41000,,
2004.0908,-17.35000,-15.19000,,
2004.1136,,-29.29000,,
2004.1179,-11.95000,,,
2004.1447,-16.45000,,,
2004.1490,,-25.99000,,
2004.1719,-45.55000,,,
2004.1721,,-42.49000,,
2004.1992,-36.65000,,,
2004.1993,,-32.29000,,
2004.2261,-21.25000,,,
2004.2264,,-20.59000,,
2004.2523,,-45.59000,,
2004.2534,-45.75000,,,
2004.2802,-51.95000,,,
2004.2808,,-52.19000,,
2004.3078,-46.45000,,,
2004.3080,,-50.09000,,
2004.3349,-24.35000,,,
2004.3350,,-31.79000,,
2004.3619,-28.25000,,,
2004.3622,,-29.49000,,
2004.3887,-32.25000,,,
2004.3891,,-32.59000,,
2004.4164,,-27.79000,,
2004.4437,,-14.89000,,
2004.4707,,-12.09000,,
2004.4732,-2.65000,,,
2004.4974,-6.95000,,,
2004.4980,,1.11000,,
2004.5226,-16.95000,,,
2004.5250,,-4.09000,,
2004.5496,-4.05000,,,
2004.5523,,6.61000,,
2004.5776,15.05000,,,
2004.5794,,22.41000,,
2004.6063,33.45000,,,
2004.6066,,39.51000,,
2004.6338,37.55000,36.51000,,
2004.6606,38.65000,43.11000,,
2004.6874,57.15000,,,
2004.6880,,64.71000,,
2004.7148,69.85000,,,
2004.7150,,76.11000,,
2004.7422,,68.71000,,
2004.7425,68.45000,,,
2004.7691,85.15000,,,
2004.7694,,83.11000,,
2004.7963,61.55000,,,
2004.7965,,68.11000,,
2004.8237,50.85000,50.51000,,
2004.8502,54.95000,,,
2004.8510,,60.21000,,
2004.8777,49.95000,,,
2004.8779,,53.61000,,
2004.9049,30.45000,,,
2004.9052,,39.21000,,
2004.9320,31.75000,,,
2004.9322,,34.41000,,
2004.9541,32.15000,,,
2004.9595,,30.11000,,
2004.9861,31.05000,,,
2004.9865,,29.71000,,
2005.0135,9.25000,,,
2005.0137,,23.51000,,
2005.0403,31.55000,,,
2005.0404,,40.51000,,
2005.0679,11.85000,10.91000,,
2005.0948,-13.45000,-20.69000,,
2005.1223,-14.95000,,,
2005.1225,,-22.99000,,
2005.1488,-40.85000,,,
2005.1495,,-35.59000,,
2005.1760,-52.95000,,,
2005.1762,,-38.49000,,
2005.2039,,-40.89000,,
2005.2041,-50.35000,,,
2005.2305,,-28.09000,,
2005.2308,-36.45000,,,
2005.2578,-40.55000,,,
2005.2580,,-38.49000,,
2005.2848,-43.15000,,,
2005.2849,,-38.39000,,
2005.3102,-43.25000,,,
2005.3123,,-29.39000,,
2005.3392,,-23.09000,,
