#title = mean sea level anomaly North Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.92 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9599,43.24000,,,
1992.9854,62.54000,,,
1993.0119,76.04000,,,
1993.0387,228.94000,,,
1993.0661,144.34000,,,
1993.0955,80.64000,,,
1993.1199,48.04000,,,
1993.1478,5.54000,,,
1993.2022,35.54000,,,
1993.2295,27.74000,,,
1993.3924,-79.46000,,,
1993.4195,-62.06000,,,
1993.4469,-60.36000,,,
1993.4739,-40.36000,,,
1993.4990,-14.26000,,,
1993.5282,-75.36000,,,
1993.5823,-45.36000,,,
1993.6109,-24.56000,,,
1993.6368,2.04000,,,
1993.6640,27.04000,,,
1993.6907,-42.76000,,,
1993.7175,-22.56000,,,
1993.7459,-91.96000,,,
1993.7996,94.74000,,,
1993.8541,25.34000,,,
1993.8818,90.94000,,,
1993.9073,1.34000,,,
1993.9354,-20.06000,,,
1993.9620,-84.26000,,,
1993.9897,-70.96000,,,
1994.0445,-30.56000,,,
1994.0709,54.04000,,,
1994.1797,-34.76000,,,
1994.2340,-93.36000,,,
1994.3425,-61.36000,,,
1994.3969,-38.96000,,,
1994.4240,-34.26000,,,
1994.4512,-21.16000,,,
1994.5039,-43.96000,,,
1994.5328,-74.26000,,,
1994.5597,-66.56000,,,
1994.5872,-35.36000,,,
1994.6141,30.84000,,,
1994.6413,-24.16000,,,
1994.6684,2.04000,,,
1994.6958,-18.36000,,,
1994.7227,20.14000,,,
1994.7501,99.24000,,,
1994.7772,117.14000,,,
1994.8040,-42.16000,,,
1994.8313,-34.76000,,,
1994.8856,168.14000,,,
1994.9130,142.54000,,,
1994.9404,147.84000,,,
1994.9673,125.34000,,,
1994.9935,39.74000,,,
1995.0214,85.74000,,,
1995.0488,-65.06000,,,
1995.0753,-40.16000,,,
1995.1029,51.74000,,,
1995.1301,-11.26000,,,
1995.1571,-32.66000,,,
1995.2114,-25.46000,,,
1995.2384,75.44000,,,
1995.2661,6.64000,,,
1995.3743,-73.46000,,,
1995.4016,-55.76000,,,
1995.4559,-44.26000,,,
1995.4829,-3.26000,,,
1995.5371,-34.66000,,,
1995.5642,-19.46000,,,
1995.5914,-18.46000,,,
1995.6186,9.14000,,,
1995.6461,58.44000,,,
1995.6723,-30.46000,,,
1995.7000,-34.76000,,,
1995.7271,70.54000,,,
1995.7546,71.34000,,,
1995.7818,119.84000,,,
1995.8360,181.14000,,,
1995.8629,60.24000,,,
1995.8890,45.74000,,,
1995.9447,61.34000,,,
1995.9715,3.44000,,,
1995.9964,8.24000,,,
1996.0259,-11.86000,,,
1996.0517,-24.56000,,,
1996.0808,-49.66000,,,
1996.1618,-56.26000,,,
1996.2430,-32.26000,,,
1996.2704,-20.66000,,,
1996.3244,-80.96000,,,
1996.3516,-48.46000,,,
1996.3787,-76.46000,,,
1996.4058,-36.96000,,,
1996.4335,-20.56000,,,
1996.4871,-61.96000,,,
1996.5144,-69.16000,,,
1996.5417,18.24000,,,
1996.5689,-19.16000,,,
1996.5959,-62.66000,,,
1996.6233,-68.76000,,,
1996.6501,-27.36000,,,
1996.6773,15.44000,,,
1996.7043,37.14000,,,
1996.7311,43.64000,,,
1996.7588,80.34000,,,
1996.8131,45.54000,,,
1996.8402,82.44000,,,
1996.8674,64.24000,,,
1996.8946,-2.06000,,,
1996.9216,-53.56000,,,
1996.9489,-10.26000,,,
1996.9760,26.44000,,,
1997.0035,24.24000,,,
1997.0303,26.14000,,,
1997.0574,99.44000,,,
1997.0846,95.14000,,,
1997.1393,33.94000,,,
1997.1662,119.84000,,,
1997.1933,27.74000,,,
1997.2205,-91.36000,,,
1997.2476,39.24000,,,
1997.2748,25.74000,,,
1997.3018,-20.56000,,,
1997.3289,-76.86000,,,
1997.3832,-67.16000,,,
1997.4103,-10.16000,,,
1997.4647,-64.06000,,,
1997.5191,-68.66000,,,
1997.5461,-51.76000,,,
1997.5732,-46.16000,,,
1997.6277,11.74000,,,
1997.6551,3.34000,,,
1997.6821,115.84000,,,
1997.7091,133.64000,,,
1997.7362,117.34000,,,
1997.7905,107.54000,,,
1997.8175,143.64000,,,
1997.8447,10.04000,,,
1997.8714,-73.46000,,,
1997.8990,-60.26000,,,
1997.9264,7.54000,,,
1997.9528,39.44000,,,
1997.9808,-1.16000,,,
1998.0076,16.74000,,,
1998.0349,112.04000,,,
1998.0889,57.84000,,,
1998.1163,110.44000,,,
1998.1434,144.54000,,,
1998.1704,15.44000,,,
1998.1977,2.94000,,,
1998.2246,-23.96000,,,
1998.3337,-87.66000,,,
1998.3602,-54.16000,,,
1998.4142,-81.06000,,,
1998.4684,-55.06000,,,
1998.4964,-23.46000,,,
1998.5229,9.34000,,,
1998.5504,-21.06000,,,
1998.6046,10.54000,,,
1998.6320,45.24000,,,
1998.6590,43.54000,,,
1998.6875,-26.46000,,,
1998.7140,45.84000,,,
1998.7405,-27.06000,,,
1998.7685,44.74000,,,
1998.8221,103.94000,,,
1998.8489,59.14000,,,
1998.8760,64.04000,,,
1998.9032,13.34000,,,
1998.9305,33.74000,,,
1998.9586,151.94000,,,
1998.9851,38.34000,,,
1999.0126,7.74000,,,
1999.0396,-7.46000,,,
1999.0937,79.74000,,,
1999.1247,38.94000,,,
1999.1477,15.14000,,,
1999.2026,-71.76000,,,
1999.2294,-67.06000,,,
1999.2569,-44.36000,,,
1999.3379,-72.86000,,,
1999.3649,-90.96000,,,
1999.3922,-48.66000,,,
1999.4464,-57.86000,,,
1999.4738,-49.06000,,,
1999.4997,-59.56000,,,
1999.5280,-27.06000,,,
1999.5551,11.84000,,,
1999.5820,-7.66000,,,
1999.6096,-5.56000,,,
1999.6362,17.14000,,,
1999.6904,51.04000,,,
1999.7186,17.04000,,,
1999.7451,36.84000,,,
1999.7723,132.34000,,,
1999.7995,3.24000,,,
1999.8268,126.24000,,,
1999.8538,148.74000,,,
1999.8808,67.84000,,,
1999.9080,112.54000,,,
1999.9626,46.44000,,,
1999.9898,-19.16000,,,
2000.0164,74.74000,,,
2000.0437,66.34000,,,
2000.0707,48.44000,,,
2000.0981,118.04000,,,
2000.1253,72.04000,,,
2000.1525,2.84000,,,
2000.1794,69.04000,,,
2000.2067,35.84000,,,
2000.2339,-94.16000,,,
2000.3421,-93.76000,,,
2000.3695,-65.86000,,,
2000.3969,-44.46000,,,
2000.4241,-60.26000,,,
2000.4511,-11.16000,,,
2000.4780,-27.66000,,,
2000.5053,-43.56000,,,
2000.5330,-39.76000,,,
2000.5878,-13.06000,,,
2000.6141,-13.26000,,,
2000.6410,-10.06000,,,
2000.6681,10.74000,,,
2000.6948,19.04000,,,
2000.7227,-64.56000,,,
2000.7502,-6.56000,,,
2000.7767,-72.56000,,,
2000.8049,47.44000,,,
2000.8849,-98.56000,,,
2000.9128,17.04000,,,
2000.9404,114.14000,,,
2000.9669,79.34000,,,
2000.9937,-1.66000,,,
2001.0211,53.34000,,,
2001.0766,-48.16000,,,
2001.1297,120.24000,,,
2001.1568,-64.66000,,,
2001.1840,-40.46000,,,
2001.2108,-37.86000,,,
2001.2656,-52.66000,,,
2001.3467,-67.56000,,,
2001.3745,-70.66000,,,
2001.4011,-25.26000,,,
2001.4286,-25.96000,,,
2001.4554,-65.76000,,,
2001.4825,-52.26000,,,
2001.5097,-75.36000,,,
2001.5370,-57.46000,,,
2001.5637,-33.16000,,,
2001.5917,6.34000,,,
2001.6187,-26.86000,,,
2001.6455,25.34000,,,
2001.6724,54.84000,,,
2001.6998,63.24000,,,
2001.7279,19.64000,,,
2001.7540,58.34000,,,
2001.7813,90.44000,,,
2001.8084,93.54000,,,
2001.8355,223.94000,,,
2001.8627,172.24000,,,
2001.8898,119.34000,,,
2001.9168,79.24000,,,
2001.9442,108.04000,,,
2001.9710,106.84000,,,
2001.9989,50.44000,,,
2002.0258,143.84000,,,
2002.0522,73.74000,,,
2002.0545,,58.41000,,
2002.0805,104.24000,,,
2002.0823,,106.61000,,
2002.1071,119.94000,,,
2002.1086,,115.51000,,
2002.1342,42.84000,,,
2002.1358,,23.51000,,
2002.1612,5.94000,,,
2002.1635,,3.11000,,
2002.1887,12.54000,,,
2002.1906,,18.51000,,
2002.2156,-42.26000,,,
2002.2168,,-52.19000,,
2002.2427,-31.66000,,,
2002.2441,,-26.49000,,
2002.2699,-34.16000,,,
2002.2712,,-38.29000,,
2002.2978,-33.16000,,,
2002.2994,,-2.09000,,
2002.3243,-47.26000,,,
2002.3259,,-49.29000,,
2002.3515,-72.26000,,,
2002.3532,,-64.29000,,
2002.3786,-68.86000,,,
2002.3798,,-65.49000,,
2002.4056,-87.46000,,,
2002.4070,,-64.19000,,
2002.4329,-79.66000,,,
2002.4338,,-65.49000,,
2002.4599,10.94000,,,
2002.4611,,32.01000,,
2002.4870,-5.56000,,,
2002.4883,,-14.19000,,
2002.5159,,-34.99000,,
2002.5417,10.94000,,,
2002.5433,,7.51000,,
2002.5686,-25.16000,,,
2002.5697,,-12.29000,,
2002.5959,-53.96000,,,
2002.5968,,-27.79000,,
2002.6240,15.64000,,,
2002.6243,,35.51000,,
2002.6519,,72.31000,,
2002.6549,54.74000,,,
2002.6784,,62.61000,,
2002.6793,45.94000,,,
2002.7052,,77.81000,,
2002.7080,114.04000,,,
2002.7330,172.24000,,,
2002.7331,,159.21000,,
2002.7602,,79.91000,,
2002.7609,72.24000,,,
2002.7873,,-29.09000,,
2002.7875,-8.66000,,,
2002.8139,,57.71000,,
2002.8152,86.54000,,,
2002.8411,,22.21000,,
2002.8415,30.84000,,,
2002.8687,-33.56000,-29.89000,,
2002.8939,,-73.29000,,
2002.8986,-29.86000,,,
2002.9227,,-65.59000,,
2002.9238,-45.16000,,,
2002.9503,,1.31000,,
2002.9508,11.64000,,,
2002.9767,-11.06000,,,
2002.9775,,-35.49000,,
2003.0041,,44.31000,,
2003.0046,55.64000,,,
2003.0321,,194.11000,,
2003.0328,194.54000,,,
2003.0590,,24.81000,,
2003.0594,62.14000,,,
2003.0858,-66.66000,,,
2003.0859,,-48.19000,,
2003.1128,,10.11000,,
2003.1135,15.44000,,,
2003.1399,,10.21000,,
2003.1407,3.54000,,,
2003.1675,,-80.99000,,
2003.1683,-42.46000,,,
2003.1938,,58.71000,,
2003.1949,55.44000,,,
2003.2211,,18.11000,,
2003.2217,35.94000,,,
2003.2489,,52.51000,,
2003.2498,67.54000,,,
2003.2751,-16.66000,,,
2003.2796,,-48.69000,,
2003.3027,,-58.29000,,
2003.3047,-59.06000,,,
2003.3305,,-47.09000,,
2003.3314,-21.06000,,,
2003.3574,,-50.59000,,
2003.3575,-24.96000,,,
2003.3835,,-73.69000,,
2003.3847,-71.76000,,,
2003.4116,,-28.59000,,
2003.4119,-35.06000,,,
2003.4381,,22.21000,,
2003.4399,26.24000,,,
2003.4659,,41.81000,,
2003.4662,54.34000,,,
2003.4931,25.64000,,,
2003.4935,,-3.99000,,
2003.5199,,43.11000,,
2003.5207,27.14000,,,
2003.5473,,0.31000,,
2003.5476,-5.56000,,,
2003.5744,,12.41000,,
2003.5752,-9.56000,,,
2003.6011,,61.11000,,
2003.6024,50.14000,,,
2003.6290,,112.01000,,
2003.6293,98.14000,,,
2003.6558,,115.91000,,
2003.6570,116.04000,,,
2003.6829,,71.41000,,
2003.6837,77.24000,,,
2003.7101,,113.51000,,
2003.7105,106.54000,,,
2003.7372,,136.91000,,
2003.7382,133.54000,,,
2003.7641,166.14000,,,
2003.7646,,169.71000,,
2003.7917,95.54000,84.01000,,
2003.8189,,42.61000,,
2003.8200,52.74000,,,
2003.8460,,71.11000,,
2003.8466,95.74000,,,
2003.8721,,66.41000,,
2003.8742,63.04000,,,
2003.9004,-9.66000,,,
2003.9113,,-80.59000,,
2003.9272,48.74000,,,
2003.9282,,69.61000,,
2003.9549,,220.41000,,
2003.9558,214.64000,,,
2003.9819,,52.21000,,
2003.9821,44.64000,,,
2004.0086,-84.66000,,,
2004.0094,,-88.79000,,
2004.0360,,10.01000,,
2004.0372,12.14000,,,
2004.0626,,-13.49000,,
2004.0638,-2.56000,,,
2004.0904,52.54000,,,
2004.0907,,49.31000,,
2004.1139,,85.81000,,
2004.1186,86.34000,,,
2004.1438,51.04000,,,
2004.1481,,16.61000,,
2004.1718,,-26.09000,,
2004.1726,-38.36000,,,
2004.1990,7.44000,,,
2004.1991,,-2.59000,,
2004.2255,,-41.29000,,
2004.2267,-63.86000,,,
2004.2797,,-82.89000,,
2004.3065,,-74.49000,,
2004.3066,-68.36000,,,
2004.3618,,-39.39000,,
2004.3624,-18.86000,,,
2004.3888,,27.41000,,
2004.3892,43.84000,,,
2004.4160,,-21.49000,,
2004.4434,,-5.09000,,
2004.4706,,-28.69000,,
2004.4725,-24.16000,,,
2004.4975,,3.31000,,
2004.4985,-22.96000,,,
2004.5226,-14.36000,,,
2004.5245,,-20.99000,,
2004.5490,-2.46000,,,
2004.5518,,12.01000,,
2004.5785,,-3.59000,,
2004.5790,9.84000,,,
2004.6059,,-4.29000,,
2004.6071,-11.86000,,,
2004.6325,,13.41000,,
2004.6337,9.84000,,,
2004.6603,,45.11000,,
2004.6607,33.54000,,,
2004.6880,78.84000,,,
2004.6881,,78.21000,,
2004.7144,,155.51000,,
2004.7153,133.04000,,,
2004.7414,,145.51000,,
2004.7425,136.14000,,,
2004.7687,,21.91000,,
2004.7697,2.74000,,,
2004.7961,,-28.39000,,
2004.7974,-39.86000,,,
2004.8233,,23.71000,,
2004.8239,3.34000,,,
2004.8507,,120.61000,,
2004.8514,104.94000,,,
2004.8773,,143.61000,,
2004.8787,136.74000,,,
2004.9047,,90.31000,,
2004.9058,81.84000,,,
2004.9320,,134.61000,,
2004.9327,115.94000,,,
2004.9537,114.74000,,,
2004.9602,,127.11000,,
2004.9860,,74.71000,,
2004.9869,72.24000,,,
2005.0131,162.54000,,,
2005.0132,,186.71000,,
2005.0410,,143.91000,,
2005.0421,130.54000,,,
2005.0675,,83.11000,,
2005.0682,86.54000,,,
2005.0947,-39.26000,-48.19000,,
2005.1219,,-11.99000,,
2005.1228,-2.66000,,,
2005.2037,,-50.29000,,
2005.2052,-87.46000,,,
2005.2299,,-64.49000,,
2005.2311,-69.26000,,,
2005.2573,,-74.19000,,
2005.2586,-52.26000,,,
2005.2844,,-87.19000,,
2005.2848,-99.56000,,,
2005.3121,,-94.29000,,
2005.3395,,-31.89000,,
2005.3424,-29.96000,,,
2005.3664,,-59.39000,,
2005.3667,-58.16000,,,
2005.3929,,-88.19000,,
2005.3942,-91.86000,,,
2005.4206,,-70.79000,,
2005.4229,-60.66000,,,
2005.4477,,-34.49000,,
2005.4487,-38.96000,,,
2005.4750,,3.21000,,
2005.4751,-31.66000,,,
2005.5022,,13.01000,,
2005.5030,-22.06000,,,
2005.5294,,16.31000,,
2005.5298,-24.86000,,,
2005.5554,18.74000,,,
2005.5564,,21.91000,,
2005.5839,-17.56000,,,
2005.5840,,-7.99000,,
2005.6099,64.64000,,,
2005.6108,,63.41000,,
2005.6375,,61.31000,,
2005.6385,15.24000,,,
2005.6646,,80.21000,,
2005.6658,59.94000,,,
2005.6918,,78.41000,,
2005.6930,58.04000,,,
2005.7139,,135.81000,,
2005.7195,102.34000,,,
2005.7471,127.74000,,,
2005.7510,,113.41000,,
2005.7653,90.24000,,,
2005.7733,,86.41000,,
2005.8005,,41.91000,,
2005.8282,,124.91000,,
2005.8550,,168.41000,,
2005.8820,,145.01000,,
2005.9090,,-65.59000,,
