#title = mean sea level anomaly Persian Gulf (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.81 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9616,133.70000,,,
1992.9861,111.40000,,,
1993.0138,81.50000,,,
1993.0405,-53.70000,,,
1993.0675,-75.80000,,,
1993.0978,-32.20000,,,
1993.1491,-70.90000,,,
1993.1762,13.20000,,,
1993.2033,-38.80000,,,
1993.2305,-81.10000,,,
1993.2848,-99.40000,,,
1993.3119,-58.40000,,,
1993.3379,-49.70000,,,
1993.3661,-84.40000,,,
1993.4206,-73.20000,,,
1993.4477,-81.90000,,,
1993.4951,16.10000,,,
1993.5292,-33.90000,,,
1993.5825,-84.30000,,,
1993.6378,-62.40000,,,
1993.6648,34.90000,,,
1993.6924,7.00000,,,
1993.7191,24.90000,,,
1993.7461,-7.20000,,,
1993.7736,33.90000,,,
1993.8005,52.70000,,,
1993.8540,67.90000,,,
1993.8827,89.50000,,,
1993.9098,-28.50000,,,
1993.9354,47.10000,,,
1993.9634,69.00000,,,
1993.9933,70.40000,,,
1994.0179,0.20000,,,
1994.0442,88.70000,,,
1994.0722,46.40000,,,
1994.0974,-40.60000,,,
1994.1264,-90.90000,,,
1994.1536,-68.30000,,,
1994.1807,11.20000,,,
1994.2349,-64.60000,,,
1994.2627,-35.00000,,,
1994.2883,23.60000,,,
1994.3164,-37.10000,,,
1994.3441,-38.50000,,,
1994.3701,-99.60000,,,
1994.3980,-86.30000,,,
1994.4257,-55.10000,,,
1994.4522,-10.20000,,,
1994.4966,-78.60000,,,
1994.5318,-19.60000,,,
1994.5586,-6.70000,,,
1994.5869,7.50000,,,
1994.6151,42.90000,,,
1994.6407,-6.40000,,,
1994.6694,-5.30000,,,
1994.6965,-1.90000,,,
1994.7220,54.00000,,,
1994.7513,8.40000,,,
1994.7761,96.80000,,,
1994.8033,65.80000,,,
1994.8322,112.80000,,,
1994.8868,122.10000,,,
1994.9136,-2.30000,,,
1994.9407,-62.80000,,,
1994.9678,-6.50000,,,
1994.9940,-29.30000,,,
1995.0214,33.40000,,,
1995.0483,-17.30000,,,
1995.0767,-93.90000,,,
1995.1039,27.20000,,,
1995.1308,-25.70000,,,
1995.1572,-29.40000,,,
1995.2123,-20.10000,,,
1995.2665,-88.30000,,,
1995.2931,-20.60000,,,
1995.3190,25.30000,,,
1995.4004,-47.50000,,,
1995.4301,-96.50000,,,
1995.4547,-13.90000,,,
1995.4838,-80.10000,,,
1995.5379,-51.80000,,,
1995.5652,138.50000,,,
1995.5924,8.20000,,,
1995.6169,27.70000,,,
1995.6466,-12.10000,,,
1995.6745,-51.70000,,,
1995.7008,-12.90000,,,
1995.7282,-24.10000,,,
1995.7551,4.00000,,,
1995.7824,-10.80000,,,
1995.8369,39.80000,,,
1995.8638,36.40000,,,
1995.8909,19.40000,,,
1995.9454,174.50000,,,
1995.9725,53.80000,,,
1995.9955,112.20000,,,
1996.0267,66.40000,,,
1996.0481,11.20000,,,
1996.0805,-20.60000,,,
1996.1082,30.00000,,,
1996.1625,6.60000,,,
1996.1890,28.90000,,,
1996.2167,38.00000,,,
1996.2440,-82.90000,,,
1996.2710,-8.50000,,,
1996.2984,-31.50000,,,
1996.3255,-79.80000,,,
1996.3531,-23.70000,,,
1996.3800,-42.60000,,,
1996.4067,-36.10000,,,
1996.4341,34.60000,,,
1996.4882,-69.20000,,,
1996.5153,26.50000,,,
1996.5428,9.90000,,,
1996.5689,-42.80000,,,
1996.5968,25.80000,,,
1996.6247,0.40000,,,
1996.6512,14.70000,,,
1996.6785,-38.20000,,,
1996.7054,-10.50000,,,
1996.7353,42.50000,,,
1996.7599,47.00000,,,
1996.8138,17.60000,,,
1996.8414,20.80000,,,
1996.8683,38.50000,,,
1996.8956,101.40000,,,
1996.9226,124.60000,,,
1996.9497,33.50000,,,
1996.9773,24.90000,,,
1997.0045,10.10000,,,
1997.0297,30.80000,,,
1997.0585,29.30000,,,
1997.0854,-73.50000,,,
1997.1399,-81.10000,,,
1997.1669,-58.90000,,,
1997.1941,-19.40000,,,
1997.2215,-68.40000,,,
1997.2479,-21.30000,,,
1997.2756,-53.50000,,,
1997.3024,-65.50000,,,
1997.3301,-45.20000,,,
1997.3552,-23.50000,,,
1997.3849,-60.00000,,,
1997.4655,91.90000,,,
1997.4887,78.40000,,,
1997.5199,19.20000,,,
1997.5467,34.10000,,,
