#title = mean sea level anomaly Sea of Japan (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.93 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9598,-46.93000,,,
1992.9858,-23.33000,,,
1993.0129,-4.53000,,,
1993.0410,1.27000,,,
1993.0673,-96.73000,,,
1993.1496,-74.03000,,,
1993.1760,-84.63000,,,
1993.2029,-57.33000,,,
1993.2303,-38.33000,,,
1993.2848,-21.83000,,,
1993.3118,-19.53000,,,
1993.3390,-57.23000,,,
1993.3666,-41.63000,,,
1993.3935,-49.93000,,,
1993.4202,-38.33000,,,
1993.4749,-90.43000,,,
1993.5002,-59.83000,,,
1993.5290,-19.13000,,,
1993.5844,-61.93000,,,
1993.6119,-46.43000,,,
1993.6372,-23.83000,,,
1993.6646,-30.73000,,,
1993.6922,-15.53000,,,
1993.7190,-4.93000,,,
1993.7462,61.47000,,,
1993.7736,68.97000,,,
1993.8005,79.77000,,,
1993.8547,-5.43000,,,
1993.8820,35.67000,,,
1993.9090,-70.33000,,,
1993.9361,-48.23000,,,
1993.9632,-35.13000,,,
1993.9906,-14.33000,,,
1994.0174,-36.03000,,,
1994.0447,7.67000,,,
1994.0720,-34.13000,,,
1994.0989,-88.93000,,,
1994.1261,-76.43000,,,
1994.1542,-76.03000,,,
1994.1803,-67.53000,,,
1994.2352,-71.13000,,,
1994.2621,-69.43000,,,
1994.2897,-47.33000,,,
1994.3175,-12.83000,,,
1994.3440,-73.63000,,,
1994.3970,-77.33000,,,
1994.4246,-69.53000,,,
1994.4519,-62.83000,,,
1994.5056,-70.83000,,,
1994.5336,-34.63000,,,
1994.5614,-9.03000,,,
1994.5878,33.17000,,,
1994.6158,79.17000,,,
1994.6417,91.77000,,,
1994.6700,85.17000,,,
1994.6965,78.57000,,,
1994.7235,82.17000,,,
1994.7500,16.57000,,,
1994.7776,43.47000,,,
1994.8050,45.97000,,,
1994.8320,52.37000,,,
1994.8866,46.37000,,,
1994.9134,-2.53000,,,
1994.9409,29.57000,,,
1994.9677,21.97000,,,
1994.9949,10.67000,,,
1995.0220,-74.53000,,,
1995.0490,-29.83000,,,
1995.0755,3.57000,,,
1995.1034,-11.53000,,,
1995.1305,-3.33000,,,
1995.1579,-23.43000,,,
1995.2126,-78.53000,,,
1995.2389,-84.93000,,,
1995.2670,-96.83000,,,
1995.2938,-35.73000,,,
1995.3208,-49.93000,,,
1995.3742,-41.63000,,,
1995.4022,-41.03000,,,
1995.4293,-72.93000,,,
1995.4563,-58.73000,,,
1995.4837,-37.33000,,,
1995.5380,-30.83000,,,
1995.5655,7.27000,,,
1995.5931,-24.73000,,,
1995.6193,-30.63000,,,
1995.6464,13.27000,,,
1995.6740,-33.43000,,,
1995.7010,-29.83000,,,
1995.7280,67.97000,,,
1995.7543,77.27000,,,
1995.7824,71.97000,,,
1995.8367,-55.83000,,,
1995.8647,-87.33000,,,
1995.8909,20.07000,,,
1995.9451,60.87000,,,
1995.9722,22.97000,,,
1995.9977,-30.63000,,,
1996.0267,-36.83000,,,
1996.0525,-27.83000,,,
1996.0805,-66.13000,,,
1996.1074,-94.13000,,,
1996.2983,-75.43000,,,
1996.3251,-76.83000,,,
1996.3523,-35.63000,,,
1996.3792,-48.33000,,,
1996.4065,-61.13000,,,
1996.4327,-31.33000,,,
1996.4876,-57.63000,,,
1996.5426,-16.33000,,,
1996.5695,-9.33000,,,
1996.5967,-3.63000,,,
1996.6237,12.07000,,,
1996.6510,-1.43000,,,
1996.6789,11.37000,,,
1996.7054,38.07000,,,
1996.7333,79.67000,,,
1996.7598,109.27000,,,
1996.8139,87.77000,,,
1996.8414,89.67000,,,
1996.8683,89.47000,,,
