#title = mean sea level anomaly Sea of Okhotsk (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.02 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9594,-4.22000,,,
1992.9851,-37.92000,,,
1993.0120,-40.92000,,,
1993.0405,-31.32000,,,
1993.0660,-35.22000,,,
1993.0964,-37.22000,,,
1993.1194,-15.42000,,,
1993.1497,6.88000,,,
1993.1752,-14.12000,,,
1993.2053,24.48000,,,
1993.2306,-12.82000,,,
1993.2845,-39.12000,,,
1993.3129,-23.52000,,,
1993.3394,-32.62000,,,
1993.3657,-25.42000,,,
1993.3927,-14.42000,,,
1993.4196,-14.72000,,,
1993.4472,-37.02000,,,
1993.4735,-18.02000,,,
1993.5001,-17.72000,,,
1993.5282,-13.72000,,,
1993.5826,-4.22000,,,
1993.6104,-1.42000,,,
1993.6370,-8.82000,,,
1993.6642,11.68000,,,
1993.6917,-13.82000,,,
1993.7180,-14.02000,,,
1993.7462,5.38000,,,
1993.7727,-16.92000,,,
1993.7996,-31.82000,,,
1993.8542,-10.12000,,,
1993.8819,-31.42000,,,
1993.9083,-70.02000,,,
1993.9351,-60.22000,,,
1993.9625,-0.62000,,,
1993.9892,6.38000,,,
1994.0161,-1.12000,,,
1994.0431,-23.22000,,,
1994.0702,-37.62000,,,
1994.0975,-49.22000,,,
1994.1266,-30.02000,,,
1994.1527,-7.02000,,,
1994.1809,-12.02000,,,
1994.2324,-46.12000,,,
1994.2625,-25.62000,,,
1994.2888,-46.62000,,,
1994.3169,-39.72000,,,
1994.3439,-60.02000,,,
1994.3705,-35.22000,,,
1994.3963,-43.12000,,,
1994.4243,-51.62000,,,
1994.4513,-26.22000,,,
1994.5051,-32.92000,,,
1994.5327,-38.12000,,,
1994.5596,-15.62000,,,
1994.5873,-35.82000,,,
1994.6142,-31.02000,,,
1994.6412,14.38000,,,
1994.6682,14.98000,,,
1994.6955,14.28000,,,
1994.7224,15.38000,,,
1994.7500,15.78000,,,
1994.7768,-0.72000,,,
1994.8042,-17.82000,,,
1994.8312,10.98000,,,
1994.8856,-53.82000,,,
1994.9127,-26.62000,,,
1994.9396,-25.92000,,,
1994.9665,-10.22000,,,
1994.9932,-16.62000,,,
1995.0222,-9.62000,,,
1995.0463,-15.62000,,,
1995.0760,22.68000,,,
1995.1010,15.88000,,,
1995.1321,58.08000,,,
1995.1556,-12.52000,,,
1995.2112,-22.22000,,,
1995.2395,-37.62000,,,
1995.2662,-15.92000,,,
1995.2945,-5.02000,,,
1995.3198,-13.52000,,,
1995.3747,-16.02000,,,
1995.4018,-4.22000,,,
1995.4286,-27.82000,,,
1995.4554,4.08000,,,
1995.4833,1.08000,,,
1995.5372,3.98000,,,
1995.5644,-9.42000,,,
1995.5914,-32.82000,,,
1995.6187,-13.02000,,,
1995.6455,3.48000,,,
1995.6731,7.68000,,,
1995.7004,11.58000,,,
1995.7271,18.68000,,,
1995.7547,26.48000,,,
1995.7813,-1.12000,,,
1995.8360,32.78000,,,
1995.8634,6.18000,,,
1995.8893,33.38000,,,
1995.9444,53.28000,,,
1995.9714,8.28000,,,
1995.9976,43.08000,,,
1996.0253,55.18000,,,
1996.0516,3.18000,,,
1996.0809,5.98000,,,
1996.1076,40.28000,,,
1996.1618,-12.12000,,,
1996.1885,-3.42000,,,
1996.2166,-25.32000,,,
1996.2438,0.48000,,,
1996.2713,4.68000,,,
1996.2977,11.38000,,,
1996.3241,12.78000,,,
1996.3528,33.18000,,,
1996.3786,26.88000,,,
1996.4056,-25.52000,,,
1996.4328,21.08000,,,
1996.4868,-23.52000,,,
1996.5140,2.78000,,,
1996.5419,24.48000,,,
1996.5689,10.38000,,,
1996.5962,12.98000,,,
1996.6240,18.68000,,,
1996.6509,26.38000,,,
1996.6774,2.78000,,,
1996.7044,54.68000,,,
1996.7327,77.08000,,,
1996.7585,66.28000,,,
