#title = mean sea level anomaly South China Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.48 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9609,-5.59000,,,
1992.9859,-16.89000,,,
1993.0108,-18.49000,,,
1993.0382,7.01000,,,
1993.0654,11.31000,,,
1993.0967,-18.69000,,,
1993.1197,-73.89000,,,
1993.1472,-71.59000,,,
1993.1759,-30.89000,,,
1993.2029,-67.89000,,,
1993.2297,-57.49000,,,
1993.2843,-32.79000,,,
1993.3117,-99.29000,,,
1993.3391,-81.29000,,,
1993.3657,-84.49000,,,
1993.3933,-86.49000,,,
1993.4474,-96.39000,,,
1993.4745,-97.79000,,,
1993.5012,-75.99000,,,
1993.5289,-67.39000,,,
1993.5834,-80.29000,,,
1993.6102,-65.19000,,,
1993.6374,-64.29000,,,
1993.6646,-39.09000,,,
1993.6917,-44.59000,,,
1993.7186,-52.99000,,,
1993.7462,-21.49000,,,
1993.7735,40.31000,,,
1993.8005,16.61000,,,
1993.8547,17.71000,,,
1993.8816,-3.99000,,,
1993.9095,18.61000,,,
1993.9362,20.31000,,,
1993.9632,88.81000,,,
1993.9904,63.31000,,,
1994.0177,-32.39000,,,
1994.0444,-9.19000,,,
1994.0720,6.31000,,,
1994.0990,-57.09000,,,
1994.1262,-73.39000,,,
1994.1533,-37.49000,,,
1994.1806,-32.39000,,,
1994.2349,-10.69000,,,
1994.2617,-73.29000,,,
1994.2891,-46.69000,,,
1994.3162,-64.39000,,,
1994.3433,-60.99000,,,
1994.3706,-88.79000,,,
1994.3975,-81.69000,,,
1994.4246,-62.09000,,,
1994.4518,-85.49000,,,
1994.5053,-92.59000,,,
1994.5335,-60.79000,,,
1994.5604,-77.49000,,,
1994.5880,-74.79000,,,
1994.6150,-95.19000,,,
1994.6420,-41.59000,,,
1994.6691,-55.29000,,,
1994.6965,-44.99000,,,
1994.7233,-23.99000,,,
1994.7504,8.91000,,,
1994.7778,-0.39000,,,
1994.8049,47.11000,,,
1994.8321,53.11000,,,
1994.8864,30.31000,,,
1994.9132,-11.19000,,,
1994.9408,-0.39000,,,
1994.9675,55.41000,,,
1994.9950,16.61000,,,
1995.0221,21.31000,,,
1995.0487,-5.99000,,,
1995.0764,42.71000,,,
1995.1036,49.81000,,,
1995.1306,-60.49000,,,
1995.1580,-38.69000,,,
1995.2121,-46.59000,,,
1995.2390,-61.39000,,,
1995.2661,-52.49000,,,
1995.2937,-69.59000,,,
1995.3207,-32.79000,,,
1995.3748,-79.99000,,,
1995.4023,-82.29000,,,
1995.4289,-78.59000,,,
1995.4565,-77.79000,,,
1995.4839,-89.99000,,,
1995.5378,-68.89000,,,
1995.5646,-71.69000,,,
1995.5922,-59.29000,,,
1995.6194,-46.49000,,,
1995.6464,-44.39000,,,
1995.6739,-70.39000,,,
1995.7008,-32.89000,,,
1995.7280,23.31000,,,
1995.7549,-9.19000,,,
1995.7823,5.71000,,,
1995.8365,54.81000,,,
1995.8637,30.51000,,,
1995.8905,71.41000,,,
1995.9455,80.61000,,,
1995.9717,54.01000,,,
1995.9991,61.51000,,,
1996.0265,-3.59000,,,
1996.0529,-7.89000,,,
1996.0806,32.21000,,,
1996.1074,22.61000,,,
1996.1624,-13.29000,,,
1996.1892,-89.39000,,,
1996.2169,-89.39000,,,
1996.2430,-69.49000,,,
1996.2708,-45.99000,,,
1996.2977,-30.29000,,,
1996.3251,-45.09000,,,
1996.3527,-52.39000,,,
1996.3793,-16.89000,,,
1996.4067,-48.19000,,,
1996.4335,-46.19000,,,
1996.4882,-70.79000,,,
1996.5150,-43.99000,,,
1996.5426,-36.39000,,,
1996.5700,-51.09000,,,
1996.5969,-71.99000,,,
1996.6235,-47.79000,,,
1996.6505,-37.19000,,,
1996.6779,-43.89000,,,
1996.7056,-12.09000,,,
1996.7337,29.71000,,,
1996.7595,51.31000,,,
1996.8143,66.91000,,,
1996.8411,59.61000,,,
1996.8679,81.21000,,,
1996.8954,79.61000,,,
1996.9217,74.51000,,,
1996.9493,50.81000,,,
1996.9770,16.51000,,,
1997.0039,9.21000,,,
1997.0310,72.81000,,,
1997.0583,-9.59000,,,
1997.0853,-5.89000,,,
1997.1398,45.21000,,,
1997.1666,6.21000,,,
1997.1937,-39.99000,,,
1997.2213,-27.59000,,,
1997.2480,-23.49000,,,
1997.2756,-88.89000,,,
1997.3026,-60.49000,,,
1997.3293,-15.29000,,,
1997.3566,-46.69000,,,
1997.3842,-52.79000,,,
1997.4110,-45.89000,,,
1997.4659,-51.79000,,,
1997.4916,-48.89000,,,
1997.5196,-73.19000,,,
1997.5470,-17.89000,,,
1997.5734,-13.59000,,,
1997.6278,-60.79000,,,
1997.6555,-17.69000,,,
1997.6822,-39.69000,,,
1997.7094,5.11000,,,
1997.7373,30.51000,,,
1997.7907,-14.39000,,,
1997.8187,4.71000,,,
1997.8457,64.61000,,,
1997.8729,-3.99000,,,
1997.8996,-24.79000,,,
1997.9268,32.31000,,,
1997.9540,17.11000,,,
1997.9813,-26.89000,,,
1998.0064,-5.19000,,,
1998.0357,-38.69000,,,
1998.0887,-9.89000,,,
1998.1167,-55.49000,,,
1998.1442,-63.69000,,,
1998.1713,-27.39000,,,
1998.1981,-63.09000,,,
1998.2254,-21.29000,,,
1998.2527,-29.19000,,,
1998.2795,-78.99000,,,
1998.3068,-57.19000,,,
1998.3339,-71.89000,,,
1998.3612,-61.39000,,,
1998.4157,-43.69000,,,
1998.4431,-52.49000,,,
1998.4693,-49.59000,,,
1998.4969,-47.39000,,,
1998.5242,-60.79000,,,
1998.5519,-61.49000,,,
1998.6059,-25.89000,,,
1998.6325,-5.29000,,,
1998.6601,-15.29000,,,
1998.6872,-22.89000,,,
1998.7144,8.21000,,,
1998.7413,29.91000,,,
1998.7685,33.31000,,,
1998.8234,67.21000,,,
1998.8491,67.61000,,,
1998.8773,51.91000,,,
1998.9043,78.51000,,,
1998.9313,86.21000,,,
1998.9578,103.71000,,,
1998.9858,65.01000,,,
1999.0118,91.91000,,,
1999.0406,76.31000,,,
1999.0940,27.51000,,,
1999.1264,9.71000,,,
1999.1485,9.91000,,,
1999.1752,-28.49000,,,
1999.2029,-21.49000,,,
1999.2299,16.31000,,,
1999.2569,27.41000,,,
1999.2843,-10.59000,,,
1999.3387,24.91000,,,
1999.3656,-36.29000,,,
1999.3928,-31.39000,,,
1999.4199,-42.59000,,,
1999.4476,-47.39000,,,
1999.4744,-45.69000,,,
1999.5010,-26.79000,,,
1999.5284,-50.79000,,,
1999.5559,-40.89000,,,
1999.5825,-43.19000,,,
1999.6094,-28.59000,,,
1999.6373,-4.29000,,,
1999.6913,-15.39000,,,
1999.7189,10.71000,,,
1999.7456,63.01000,,,
1999.7733,80.41000,,,
1999.7999,130.61000,,,
1999.8268,92.11000,,,
1999.8544,87.71000,,,
1999.8816,94.71000,,,
1999.9083,110.11000,,,
1999.9635,160.81000,,,
1999.9905,112.31000,,,
2000.0174,19.21000,,,
2000.0443,36.51000,,,
2000.0720,140.41000,,,
2000.0985,83.51000,,,
2000.1257,15.61000,,,
2000.1526,64.01000,,,
2000.1801,31.11000,,,
2000.2073,-8.39000,,,
2000.2347,22.31000,,,
2000.2886,-22.59000,,,
2000.3164,-39.39000,,,
2000.3430,-40.19000,,,
2000.3700,-35.19000,,,
2000.3970,-16.49000,,,
2000.4245,-33.09000,,,
2000.4516,-26.79000,,,
2000.4787,-29.09000,,,
2000.5058,-5.59000,,,
2000.5340,1.61000,,,
2000.5874,-40.29000,,,
2000.6140,-11.49000,,,
2000.6420,-24.89000,,,
2000.6689,-10.59000,,,
2000.6963,15.21000,,,
2000.7231,56.31000,,,
2000.7500,29.21000,,,
2000.7771,37.71000,,,
2000.8044,57.21000,,,
2000.8590,76.41000,,,
2000.8862,109.61000,,,
2000.9134,76.11000,,,
2000.9402,73.91000,,,
2000.9676,86.21000,,,
2000.9946,79.41000,,,
2001.0217,49.21000,,,
2001.0754,38.11000,,,
2001.1029,57.91000,,,
2001.1304,82.81000,,,
2001.1572,16.81000,,,
2001.1846,39.71000,,,
2001.2121,-16.39000,,,
2001.2390,-15.79000,,,
2001.2656,1.01000,,,
2001.2933,-11.79000,,,
2001.3202,-26.39000,,,
2001.3478,-22.99000,,,
2001.3749,-9.59000,,,
2001.4011,-25.39000,,,
2001.4289,-8.79000,,,
2001.4560,-34.99000,,,
2001.4832,-23.19000,,,
2001.5104,-13.49000,,,
2001.5377,-14.89000,,,
2001.5648,10.51000,,,
2001.5912,4.51000,,,
2001.6190,8.01000,,,
2001.6461,5.41000,,,
2001.6735,7.21000,,,
2001.7005,42.31000,,,
2001.7280,64.71000,,,
2001.7547,59.71000,,,
2001.7825,69.01000,,,
2001.8092,81.21000,,,
2001.8364,69.11000,,,
2001.8633,136.11000,,,
2001.8914,120.71000,,,
2001.9176,62.11000,,,
2001.9445,84.41000,,,
2001.9716,107.91000,,,
2001.9987,60.51000,,,
2002.0263,23.81000,,,
2002.0534,13.51000,,,
2002.0541,,13.64000,,
2002.0808,49.41000,,,
2002.0819,,42.04000,,
2002.1079,14.91000,,,
2002.1081,,19.14000,,
2002.1348,31.51000,,,
2002.1351,,36.04000,,
2002.1620,-4.99000,,,
2002.1622,,-1.06000,,
2002.1888,-3.99000,,,
2002.1899,,-11.36000,,
2002.2158,-39.99000,,,
2002.2162,,-45.96000,,
2002.2436,-48.49000,,,
2002.2437,,-45.16000,,
2002.2705,-47.29000,,,
2002.2716,,-31.86000,,
2002.2979,,-19.76000,,
2002.2983,-29.59000,,,
2002.3251,-10.89000,,,
2002.3256,,-6.06000,,
2002.3518,,-14.26000,,
2002.3522,-16.19000,,,
2002.3797,-25.79000,,,
2002.3802,,-27.76000,,
2002.4068,,-23.46000,,
2002.4070,-22.09000,,,
2002.4329,-24.59000,,,
2002.4336,,-28.56000,,
2002.4608,-44.19000,,,
2002.4611,,-42.56000,,
2002.4878,-19.29000,,,
2002.4879,,-32.56000,,
2002.5154,,-42.96000,,
2002.5423,-22.29000,-29.76000,,
2002.5692,-6.49000,,,
2002.5696,,-7.76000,,
2002.5965,-20.09000,,,
