#title = mean sea level anomaly Southern Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.18 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9612,-25.00000,,,
1992.9865,-17.30000,,,
1993.0122,-5.70000,,,
1993.0406,-10.90000,,,
1993.0659,-13.60000,,,
1993.0975,-14.60000,,,
1993.1206,-9.20000,,,
1993.1492,0.40000,,,
1993.1765,-0.70000,,,
1993.2035,1.60000,,,
1993.2308,-3.90000,,,
1993.2851,-12.50000,,,
1993.3121,-8.00000,,,
1993.3393,-5.50000,,,
1993.3665,-7.40000,,,
1993.3936,-16.50000,,,
1993.4208,-20.80000,,,
1993.4480,-26.80000,,,
1993.4751,-18.40000,,,
1993.5022,-16.10000,,,
1993.5294,-34.00000,,,
1993.5837,-46.10000,,,
1993.6115,-40.10000,,,
1993.6380,-39.20000,,,
1993.6651,-35.20000,,,
1993.6922,-28.30000,,,
1993.7188,-33.10000,,,
1993.7466,-38.80000,,,
1993.7738,-39.10000,,,
1993.8008,-39.70000,,,
1993.8553,-22.50000,,,
1993.8824,-29.10000,,,
1993.9097,-24.70000,,,
1993.9366,-17.70000,,,
1993.9637,-8.80000,,,
1993.9906,-7.40000,,,
1994.0180,-16.50000,,,
1994.0452,-14.20000,,,
1994.0723,-6.40000,,,
1994.0995,-1.10000,,,
1994.1266,4.00000,,,
1994.1538,11.50000,,,
1994.1808,14.50000,,,
1994.2352,9.50000,,,
1994.2623,1.60000,,,
1994.2895,8.10000,,,
1994.3167,7.30000,,,
1994.3438,-1.20000,,,
1994.3709,-7.40000,,,
1994.3982,-14.90000,,,
1994.4252,-15.60000,,,
1994.4523,-16.20000,,,
1994.5067,-31.10000,,,
1994.5338,-33.20000,,,
1994.5610,-28.70000,,,
1994.5881,-24.10000,,,
1994.6152,-23.40000,,,
1994.6424,-22.70000,,,
1994.6697,-33.10000,,,
1994.6967,-39.80000,,,
1994.7239,-44.90000,,,
1994.7509,-36.40000,,,
1994.7781,-33.00000,,,
1994.8053,-15.90000,,,
1994.8324,-27.50000,,,
1994.8867,-32.80000,,,
1994.9139,-26.70000,,,
1994.9411,-16.10000,,,
1994.9682,-13.40000,,,
1994.9954,-6.50000,,,
1995.0225,-5.00000,,,
1995.0496,-6.70000,,,
1995.0768,8.20000,,,
1995.1040,8.70000,,,
1995.1311,4.80000,,,
1995.1581,1.00000,,,
1995.2126,22.10000,,,
1995.2397,5.40000,,,
1995.2669,5.00000,,,
1995.2940,7.30000,,,
1995.3211,-6.00000,,,
1995.3755,-9.60000,,,
1995.4027,-6.60000,,,
1995.4297,2.80000,,,
1995.4569,-11.80000,,,
1995.4840,-17.40000,,,
1995.5383,-31.50000,,,
1995.5654,-29.90000,,,
1995.5926,-24.50000,,,
1995.6198,-31.90000,,,
1995.6469,-35.00000,,,
1995.6739,-32.10000,,,
1995.7012,-33.30000,,,
1995.7284,-25.20000,,,
1995.7555,-30.60000,,,
1995.7826,-33.30000,,,
1995.8370,-23.40000,,,
1995.8642,-25.70000,,,
1995.8897,-26.20000,,,
1995.9455,-10.20000,,,
1995.9726,-7.50000,,,
1995.9999,-9.60000,,,
1996.0268,-6.90000,,,
1996.0533,-2.60000,,,
1996.0813,9.60000,,,
1996.1082,20.70000,,,
1996.1630,15.60000,,,
1996.1898,11.80000,,,
1996.2171,13.30000,,,
1996.2441,25.50000,,,
1996.2713,11.40000,,,
1996.2985,2.90000,,,
1996.3256,-9.00000,,,
1996.3528,-9.40000,,,
1996.3800,-3.00000,,,
1996.4071,-8.60000,,,
1996.4341,-12.10000,,,
1996.4886,-13.20000,,,
1996.5157,-19.10000,,,
1996.5427,-31.10000,,,
1996.5700,-27.90000,,,
1996.5972,-23.00000,,,
1996.6244,-35.00000,,,
1996.6515,-40.30000,,,
1996.6786,-46.30000,,,
1996.7053,-42.50000,,,
1996.7335,-33.10000,,,
1996.7599,-25.80000,,,
1996.8144,-9.90000,,,
1996.8414,-14.00000,,,
1996.8687,-18.80000,,,
1996.8958,-17.40000,,,
1996.9229,-19.80000,,,
1996.9501,-16.40000,,,
1996.9769,-20.20000,,,
1997.0043,-13.60000,,,
1997.0314,-4.90000,,,
1997.0587,-0.20000,,,
1997.0858,3.10000,,,
1997.1401,8.40000,,,
1997.1672,5.70000,,,
1997.1943,10.00000,,,
1997.2215,16.60000,,,
1997.2487,9.80000,,,
1997.2759,10.90000,,,
1997.3029,9.00000,,,
1997.3301,4.40000,,,
1997.3573,2.60000,,,
1997.3843,-14.20000,,,
1997.4115,-19.90000,,,
1997.4658,-12.90000,,,
1997.4929,-10.70000,,,
1997.5200,-11.00000,,,
1997.5474,-12.00000,,,
1997.5744,-20.80000,,,
1997.6288,-30.10000,,,
1997.6559,-18.10000,,,
1997.6828,-12.20000,,,
1997.7102,-13.30000,,,
1997.7373,-28.40000,,,
1997.7917,-27.60000,,,
1997.8187,-20.50000,,,
1997.8460,-7.10000,,,
1997.8731,-8.80000,,,
1997.9001,-17.40000,,,
1997.9272,-20.00000,,,
1997.9545,-21.60000,,,
1997.9817,-10.10000,,,
1998.0082,-0.90000,,,
1998.0360,0.00000,,,
1998.0902,13.00000,,,
1998.1174,11.30000,,,
1998.1445,15.30000,,,
1998.1716,18.50000,,,
1998.1989,15.20000,,,
1998.2260,16.80000,,,
1998.2531,9.20000,,,
1998.2791,19.60000,,,
1998.3075,15.20000,,,
1998.3346,12.10000,,,
1998.3617,0.70000,,,
1998.4157,-17.80000,,,
1998.4431,-17.20000,,,
1998.4703,-23.00000,,,
1998.4976,-7.20000,,,
1998.5247,-6.00000,,,
1998.5517,-20.80000,,,
1998.6062,-24.50000,,,
1998.6332,-23.50000,,,
1998.6603,-26.30000,,,
1998.6875,-22.00000,,,
1998.7146,-38.50000,,,
1998.7420,-32.40000,,,
1998.7688,-24.90000,,,
1998.8234,-17.10000,,,
1998.8504,-21.90000,,,
1998.8775,-25.30000,,,
1998.9045,-24.60000,,,
1998.9319,-11.50000,,,
1998.9590,0.30000,,,
1998.9862,5.80000,,,
1999.0133,3.50000,,,
1999.0404,4.80000,,,
1999.0947,8.40000,,,
1999.1256,36.80000,,,
1999.1490,28.40000,,,
1999.1762,26.30000,,,
1999.2033,14.70000,,,
1999.2305,11.10000,,,
1999.2576,21.80000,,,
1999.2846,24.90000,,,
1999.3391,13.00000,,,
1999.3662,9.40000,,,
1999.3933,-2.50000,,,
1999.4206,-4.80000,,,
1999.4477,-15.60000,,,
1999.4748,-5.30000,,,
1999.5020,-5.30000,,,
1999.5290,-11.60000,,,
1999.5564,-18.20000,,,
1999.5834,-11.20000,,,
1999.6105,-17.50000,,,
1999.6376,-18.60000,,,
1999.6919,-18.40000,,,
1999.7192,-16.70000,,,
1999.7461,-15.90000,,,
1999.7734,-2.30000,,,
1999.8008,-2.10000,,,
1999.8278,-11.40000,,,
1999.8549,-25.10000,,,
1999.8821,-22.80000,,,
1999.9091,-12.60000,,,
1999.9634,10.40000,,,
1999.9907,17.50000,,,
2000.0178,8.70000,,,
2000.0450,14.80000,,,
2000.0721,28.00000,,,
2000.0992,28.20000,,,
2000.1263,19.80000,,,
2000.1535,18.60000,,,
2000.1807,17.30000,,,
2000.2077,18.50000,,,
2000.2349,36.90000,,,
2000.2893,25.30000,,,
2000.3165,12.00000,,,
2000.3435,13.90000,,,
2000.3707,13.50000,,,
2000.3977,7.00000,,,
2000.4250,5.20000,,,
2000.4522,-1.20000,,,
2000.4794,-6.70000,,,
2000.5064,-9.20000,,,
2000.5336,-12.50000,,,
2000.5878,-14.40000,,,
2000.6148,-15.20000,,,
2000.6422,-15.80000,,,
2000.6694,-22.60000,,,
2000.6965,-25.90000,,,
2000.7234,-15.80000,,,
2000.7508,-5.20000,,,
2000.7780,-0.50000,,,
2000.8050,-12.10000,,,
2000.8593,-18.30000,,,
