#title = mean sea level anomaly Tropics (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.00 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.80000,,,
1992.9865,-22.50000,,,
1993.0123,-19.70000,,,
1993.0406,-22.90000,,,
1993.0660,-25.00000,,,
1993.0974,-29.60000,,,
1993.1206,-30.60000,,,
1993.1492,-23.20000,,,
1993.1765,-18.80000,,,
1993.2037,-19.70000,,,
1993.2307,-22.80000,,,
1993.2851,-24.00000,,,
1993.3123,-15.80000,,,
1993.3394,-16.40000,,,
1993.3666,-13.10000,,,
1993.3937,-16.70000,,,
1993.4208,-23.60000,,,
1993.4480,-18.70000,,,
1993.4752,-16.70000,,,
1993.5021,-14.30000,,,
1993.5294,-8.60000,,,
1993.5837,-19.80000,,,
1993.6117,-17.20000,,,
1993.6381,-13.50000,,,
1993.6652,-6.70000,,,
1993.6923,-8.70000,,,
1993.7188,-16.70000,,,
1993.7466,-15.20000,,,
1993.7738,-6.10000,,,
1993.8009,-7.10000,,,
1993.8553,-5.80000,,,
1993.8824,-10.00000,,,
1993.9097,-13.30000,,,
1993.9367,-15.00000,,,
1993.9638,-6.60000,,,
1993.9907,-5.70000,,,
1994.0181,-15.10000,,,
1994.0452,-14.30000,,,
1994.0723,-18.00000,,,
1994.0995,-23.60000,,,
1994.1267,-25.30000,,,
1994.1538,-17.20000,,,
1994.1809,-14.40000,,,
1994.2353,-17.40000,,,
1994.2624,-13.10000,,,
1994.2896,-12.60000,,,
1994.3168,-10.00000,,,
1994.3439,-11.30000,,,
1994.3710,-18.40000,,,
1994.3982,-23.60000,,,
1994.4254,-18.40000,,,
1994.4525,-8.70000,,,
1994.5067,-16.10000,,,
1994.5339,-15.00000,,,
1994.5610,-20.30000,,,
1994.5882,-17.60000,,,
1994.6154,-14.90000,,,
1994.6425,-12.20000,,,
1994.6696,-11.70000,,,
1994.6967,-13.00000,,,
1994.7239,-12.70000,,,
1994.7511,-10.90000,,,
1994.7782,-9.50000,,,
1994.8054,-5.20000,,,
1994.8325,-3.00000,,,
1994.8868,-13.00000,,,
1994.9139,-14.20000,,,
1994.9411,-3.30000,,,
1994.9683,-4.10000,,,
1994.9954,-9.30000,,,
1995.0226,-10.70000,,,
1995.0497,-16.00000,,,
1995.0769,-10.00000,,,
1995.1040,-13.10000,,,
1995.1312,-15.70000,,,
1995.1583,-9.90000,,,
1995.2126,-12.10000,,,
1995.2399,-16.90000,,,
1995.2669,-7.90000,,,
1995.2941,-8.10000,,,
1995.3212,-8.10000,,,
1995.3755,-14.70000,,,
1995.4028,-13.40000,,,
1995.4298,-8.40000,,,
1995.4570,-9.90000,,,
1995.4841,-16.10000,,,
1995.5384,-18.40000,,,
1995.5656,-12.80000,,,
1995.5927,-9.20000,,,
1995.6199,-3.90000,,,
1995.6470,-10.10000,,,
1995.6740,-12.60000,,,
1995.7013,-7.80000,,,
1995.7285,2.20000,,,
1995.7556,-0.40000,,,
1995.7827,-2.00000,,,
1995.8370,-8.20000,,,
1995.8642,-5.30000,,,
1995.8900,0.30000,,,
1995.9456,-0.90000,,,
1995.9728,-1.60000,,,
1995.9998,-9.20000,,,
1996.0270,-14.30000,,,
1996.0532,-13.60000,,,
1996.0813,-11.00000,,,
1996.1084,-5.30000,,,
1996.1631,-12.10000,,,
1996.1900,-14.30000,,,
1996.2171,-10.10000,,,
1996.2443,-6.70000,,,
1996.2714,-7.80000,,,
1996.2985,-12.00000,,,
1996.3257,-7.90000,,,
1996.3529,-3.30000,,,
1996.3800,-3.90000,,,
1996.4071,-0.50000,,,
1996.4343,-4.50000,,,
1996.4886,-13.90000,,,
1996.5158,-10.40000,,,
1996.5429,-0.70000,,,
1996.5700,3.20000,,,
1996.5972,-2.30000,,,
1996.6244,-6.60000,,,
1996.6515,-6.50000,,,
1996.6786,-6.40000,,,
1996.7054,2.60000,,,
