#title = mean sea level anomaly Yellow Sea (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.53 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9597,-70.65000,,,
1992.9874,-44.45000,,,
1993.0139,-37.55000,,,
1993.0409,-58.65000,,,
1993.0686,-96.15000,,,
1993.2052,-48.85000,,,
1993.2329,-78.75000,,,
1993.2875,-72.65000,,,
1993.3128,-52.95000,,,
1993.3410,-36.55000,,,
1993.3677,-34.35000,,,
1993.3946,-60.85000,,,
1993.4226,-60.15000,,,
1993.4497,-58.15000,,,
1993.4768,-42.75000,,,
1993.5032,-10.05000,,,
1993.5306,5.25000,,,
1993.5849,58.05000,,,
1993.6125,60.65000,,,
1993.6399,10.75000,,,
1993.6664,14.45000,,,
1993.6938,67.85000,,,
1993.7202,9.75000,,,
1993.7483,81.75000,,,
1993.7756,112.15000,,,
1993.8027,32.95000,,,
1993.8568,18.95000,,,
1993.8842,6.75000,,,
1993.9115,-73.45000,,,
1993.9378,-87.55000,,,
1993.9655,-86.65000,,,
1993.9924,-66.55000,,,
1994.0197,-56.85000,,,
1994.0463,-36.85000,,,
1994.1552,-87.35000,,,
1994.1819,-90.65000,,,
1994.2642,-57.85000,,,
1994.2907,-53.65000,,,
1994.3184,-35.25000,,,
1994.3449,-58.95000,,,
1994.3726,-80.55000,,,
1994.3999,-64.45000,,,
1994.4268,-53.15000,,,
1994.4539,-45.95000,,,
1994.5080,-40.05000,,,
1994.5356,36.65000,,,
1994.5624,44.25000,,,
1994.5890,78.95000,,,
1994.6173,101.25000,,,
1994.6439,125.45000,,,
1994.6712,71.65000,,,
1994.6984,81.45000,,,
1994.7257,100.45000,,,
1994.7525,113.05000,,,
1994.7804,52.05000,,,
1994.8067,89.45000,,,
1994.8340,63.05000,,,
1994.8883,12.65000,,,
1994.9161,-23.95000,,,
1994.9422,-7.75000,,,
1994.9703,7.35000,,,
1994.9968,-20.45000,,,
1995.0514,-89.75000,,,
1995.0792,-65.85000,,,
1995.1053,-76.05000,,,
1995.1325,-52.65000,,,
1995.1601,-97.65000,,,
1995.2952,-52.05000,,,
1995.3228,-75.55000,,,
1995.3758,-27.75000,,,
1995.4041,-37.05000,,,
1995.4316,-58.15000,,,
1995.4580,-19.65000,,,
1995.4851,-37.55000,,,
1995.5400,-19.95000,,,
1995.5671,18.15000,,,
1995.5945,7.75000,,,
1995.6213,2.75000,,,
1995.6487,44.85000,,,
1995.6748,7.95000,,,
1995.7029,68.25000,,,
1995.7303,107.95000,,,
1995.7574,60.95000,,,
1995.7843,56.65000,,,
1995.8382,-85.45000,,,
1995.8657,-83.35000,,,
1995.8919,-34.05000,,,
1995.9468,24.25000,,,
1995.9744,-15.05000,,,
1996.0010,-64.55000,,,
1996.0304,-73.15000,,,
1996.0559,-47.85000,,,
1996.0829,-84.65000,,,
1996.3002,-91.15000,,,
1996.3276,-83.25000,,,
1996.3556,-30.05000,,,
1996.3809,-14.85000,,,
1996.4090,-26.75000,,,
1996.4364,-20.55000,,,
1996.4901,-17.55000,,,
1996.5171,16.45000,,,
1996.5446,54.45000,,,
1996.5705,76.65000,,,
1996.5984,90.15000,,,
1996.6262,45.65000,,,
1996.6527,51.35000,,,
1996.6799,64.05000,,,
1996.7079,98.65000,,,
1996.7340,133.65000,,,
1996.7611,143.25000,,,
1996.8161,106.05000,,,
1996.8432,90.85000,,,
1996.8708,63.25000,,,
1996.8967,-4.85000,,,
1996.9246,-70.65000,,,
1996.9515,-71.55000,,,
1996.9787,-66.15000,,,
1997.0061,-69.75000,,,
1997.0334,-67.55000,,,
1997.0601,-77.35000,,,
1997.0878,-35.25000,,,
1997.1418,-91.25000,,,
1997.1687,-38.05000,,,
1997.1966,-32.05000,,,
1997.2233,-60.35000,,,
1997.3052,-56.05000,,,
1997.3318,-73.45000,,,
1997.3591,-75.05000,,,
1997.3860,-36.75000,,,
1997.4131,13.15000,,,
1997.4670,17.65000,,,
1997.4943,2.05000,,,
1997.5220,40.35000,,,
1997.5495,62.85000,,,
